hour,element,line,bus1,bus2,normAmps,maxCurrentA,loadingRatio,loadingPct,isOverloaded,activeLossesKw,reactiveLossesKvar
0,Line.smt_34422,smt_34422,62911,62921,163.8,0.015400931290960007,9.402277955409039e-05,0.009402277955409039,0,6.735509174404796e-08,-0.04824135035509339
0,Line.smt_34421,smt_34421,8001,62911,163.8,0.015025706398108822,9.173202929248365e-05,0.009173202929248364,0,8.305276108444559e-08,-0.06295091273362216
0,Line.smt_34420,smt_34420,7991,8001,163.8,0.014672761089551017,8.957729602900498e-05,0.008957729602900498,0,7.725802237246171e-08,-0.06093861717166844
0,Line.smt_34711,smt_34711,780431,71861,286.65,8.187565750048382,0.028562936508105295,2.8562936508105294,0,0.006287456524150911,-0.04273213941588347
0,Line.smt_34710,smt_34710,780421,71851,286.65,8.18771886656988,0.02856347066656159,2.8563470666561592,0,0.005532681569966371,-0.0375979199956073
0,Line.smt_34709,smt_34709,780411,71841,286.65,8.187867608181815,0.028563989562818123,2.8563989562818124,0,0.005409697521739872,-0.0367580236067206
0,Line.smt_34708,smt_34708,71841,71831,286.65,8.188002986122342,0.028564461838905784,2.8564461838905784,0,0.009711387811825262,-0.06598212875008176
0,Line.smt_34707,smt_34707,71831,71821,286.65,8.188108141664706,0.028564828681893275,2.8564828681893273,0,0.0075256994438241236,-0.051127281535699697
0,Line.smt_34706,smt_34706,71821,71811,286.65,8.188221249613253,0.028565223267445504,2.8565223267445505,0,0.008077720311819575,-0.0548730656352418
0,Line.smt_34705,smt_34705,780401,71801,286.65,8.188412767946284,0.02856589139349829,2.856589139349829,0,0.006776463976784726,-0.04602656297037174
0,Line.smt_34704,smt_34704,780391,71791,286.65,8.188572614280286,0.028566449029409687,2.856644902940969,0,0.005656658895750297,-0.038415910765340414
0,Line.smt_34703,smt_34703,71791,71781,286.65,8.188700502896404,0.028566895178428066,2.8566895178428067,0,0.009051001016880037,-0.06146305794909494
0,Line.smt_34702,smt_34702,71781,71771,286.65,8.188807127025449,0.02856726714469021,2.856726714469021,0,0.007529323570037377,-0.05112527296313783
0,Line.smt_34701,smt_34701,780381,71751,286.65,8.18896395563543,0.028567814253045283,2.8567814253045283,0,0.00555007812390977,-0.03768110793978849
0,Line.smt_34700,smt_34700,71751,71741,286.65,8.189056312900682,0.028568136448284258,2.8568136448284256,0,0.006490472313293139,-0.04406292078090428
0,Line.smt_34721,smt_34721,16cs245,553961,286.65,8.187341373140702,0.028562153752453176,2.8562153752453177,0,0.0001420057102368446,-0.0009651549919981335
0,Line.smt_34720,smt_34720,71871,780431,286.65,8.18747881279353,0.028562633220978656,2.8562633220978655,0,0.005800265794008738,-0.03942345972779549
0,Line.smt_34719,smt_34719,71861,780421,286.65,8.187642125199007,0.02856320294854006,2.856320294854006,0,0.0055146327538968766,-0.03747742364329588
0,Line.smt_34718,smt_34718,71851,780411,286.65,8.18779235167842,0.02856372702486803,2.856372702486803,0,0.005290091868606396,-0.035947329796737905
0,Line.smt_34717,smt_34717,71811,780401,286.65,8.188317513112402,0.02856555908987407,2.8565559089874073,0,0.006860840672830818,-0.046602989897590305
0,Line.smt_34716,smt_34716,71801,780391,286.65,8.188492844958292,0.02856617074815382,2.856617074815382,0,0.0056871411504835125,-0.038625218149945795
0,Line.smt_34715,smt_34715,71771,780381,286.65,8.18888510654016,0.028567539182069286,2.8567539182069286,0,0.0054969633574946785,-0.03732267302884247
0,Line.smt_34714,smt_34714,553951,780441,286.65,8.187339009443093,0.028562145506516985,2.8562145506516985,0,0.0001977138074726099,-0.0013438913299942215
0,Line.smt_34713,smt_34713,71741,536711,286.65,8.18909535076002,0.028568272634781164,2.856827263478116,0,0.0027225157820794264,-0.0186145297503399
0,Line.smt_34712,smt_34712,553961,71871,286.65,8.187398745129828,0.028562353898935387,2.8562353898935386,0,0.004161870616546367,-0.028289018653907077
0,Line.smt_40856,smt_40856,824391,824401,286.65,1.2876195724996518,0.004491957343448986,0.44919573434489857,0,0.00022416628713835962,-0.05791657777394585
0,Line.smt_40855,smt_40855,824381,824391,286.65,1.287530876726541,0.004491647921599655,0.44916479215996546,0,0.0002121003592546913,-0.0548083908454023
0,Line.smt_40859,smt_40859,824421,824431,286.65,1.287882838533768,0.004492875766732141,0.44928757667321406,0,0.00018538736815389712,-0.0478727109326087
0,Line.smt_40858,smt_40858,824411,824421,286.65,1.2878055170586138,0.004492606024973361,0.44926060249733607,0,0.00022764272420681663,-0.058793951192782516
0,Line.smt_40857,smt_40857,824401,824411,286.65,1.2877120909134947,0.0044922801008668925,0.4492280100866892,0,0.0002295664126322663,-0.05930139069994857
0,Line.smt_36130,smt_36130,16cf1699,790091,163.8,0.006322613056147446,3.859959130737146e-05,0.0038599591307371464,0,1.808949828330242e-08,-0.00021189205379630493
0,Line.smt_36129,smt_36129,755911,790081,163.8,0.006348626404773607,3.875840295954583e-05,0.0038758402959545826,0,-3.174865142341332e-09,-0.00038505000695879943
0,Line.smt_36128,smt_36128,790041,790051,163.8,0.004357831094825917,2.660458543849766e-05,0.002660458543849766,0,2.2853221821605986e-09,-0.022036506695429527
0,Line.smt_36127,smt_36127,790031,790041,163.8,0.005233934455736389,3.1953201805472456e-05,0.0031953201805472457,0,3.330468459239455e-09,-0.024736390682280607
0,Line.smt_36126,smt_36126,790021,790031,163.8,0.006037551904539405,3.68592912365043e-05,0.0036859291236504303,0,2.9588745533715153e-09,-0.01593272417720181
0,Line.smt_36125,smt_36125,790091,790021,163.8,0.006310624223080312,3.852639940830471e-05,0.0038526399408304714,0,1.6945353848996093e-09,-0.004916748415997042
0,Line.smt_36207,smt_36207,21981,21971,163.8,0.8548795842943809,0.005219045081162277,0.5219045081162277,0,0.00026331428246339784,-0.07379570557924217
0,Line.smt_36206,smt_36206,21861,21851,163.8,0.7561200949391269,0.0046161177957211655,0.4616117795721165,0,0.00017735357691344689,-0.06603518764047339
0,Line.smt_36326,smt_36326,48531,30731,163.8,0.029847372488402274,0.00018221839126008712,0.018221839126008714,0,1.2072838404719732e-07,-0.022806013420731838
0,Line.smt_36333,smt_36333,48551,48561,163.8,0.013783820119968362,8.415030598271283e-05,0.008415030598271282,0,3.2000869282455826e-08,-0.029466068107532915
0,Line.smt_36332,smt_36332,48541,48551,163.8,0.013285827988885335,8.111006098220594e-05,0.008111006098220594,0,2.2188808941336903e-08,-0.021540796861259717
0,Line.smt_36331,smt_36331,48531,48541,163.8,0.013191719475812913,8.053552793536577e-05,0.008053552793536577,0,1.9273081619530786e-08,-0.018556980469310133
0,Line.smt_36330,smt_36330,30761,30771,163.8,0.031384518960193106,0.00019160267985465876,0.019160267985465877,0,1.1739986149450488e-07,-0.020171723074313135
0,Line.smt_36329,smt_36329,30751,30761,163.8,0.030897084441367757,0.00018862688914143927,0.018862688914143926,0,8.996031863262033e-08,-0.015884339106741977
