hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,373.02970066630445,36.94272765259355,21.13177377503132,-109.80737581090452
1,359.2781484553061,30.997549735309015,21.018292025306902,-109.99944817032603
2,350.2445911377329,27.069929772591845,20.94190127320238,-110.14651211646557
3,347.24766502613676,25.709384779211778,20.906711566786488,-110.25390787242739
4,347.16618106191083,25.683797564071735,20.908514386576115,-110.24427861944321
5,512.1856200488614,97.56135509508057,22.66346967569783,-107.13643791826779
6,642.7968244120502,156.3569649057738,25.334154908353845,-101.77111887166139
7,870.7674057977097,253.60031780026887,29.347462018441007,-97.48032655475679
8,1000.1259750727456,306.4663608531003,32.38069565375813,-96.33374153359867
9,939.361481371577,280.6295482956011,32.326999243369606,-96.57284370620864
10,798.9250729316402,223.58918058523827,32.355595933648,-95.27810995467273
11,820.8116732770653,234.09354272555078,33.959318855081676,-93.04613373292221
12,728.241311549608,195.57409883013545,32.66249252282907,-93.99120595713384
13,771.4928910640684,213.98586625875132,33.60882546004489,-92.99212832750256
14,637.9630127153172,157.38262865338396,31.179257758679327,-95.50585148073468
15,578.2642234699175,131.4619882636842,29.7335912071635,-97.3101500796562
16,605.8071275090842,140.4214282520399,27.53629958892397,-100.73786746008872
17,732.4603494070702,193.2775360896367,27.131022857000048,-100.97990344238504
18,814.8983796324526,230.51342942779232,28.238077193695634,-98.14751674769732
19,687.2322787930569,174.42444655008393,25.519533211023134,-102.40804305826818
20,530.7564319068458,105.71388437151701,22.92254602501346,-106.67805929430881
21,445.6093357993567,68.46467496001951,21.840375217446518,-108.57524223750343
22,440.11365964999703,65.94129290242984,21.752056213206288,-108.81518001492286
23,421.8168895073103,58.01289635509525,21.56584443711566,-109.11807138935869
