hour,meterName,activeEnergyKWh,reactiveEnergyKvarh,activeLossesKWh,reactiveLossesKvarh,deltaActiveEnergyKWh,deltaReactiveEnergyKvarh,deltaActiveLossesKWh,deltaReactiveLossesKvarh
0,busa4-_202312598_segmmt_24122,321.92884671780155,17.559091774936658,15.122442412251646,-110.18105640310932,321.92884671780155,17.559091774936658,15.122442412251646,-110.18105640310932
0,trf_16_1585a_t2,0.16420524141112083,0.0360874059165227,0.07908704299121073,5.6915420030279485e-05,0.16420524141112083,0.0360874059165227,0.07908704299121073,5.6915420030279485e-05
0,trf_16_1143a_t2,2.2981668111076945,0.927578728939569,0.1465890113455756,0.01688467840659302,2.2981668111076945,0.927578728939569,0.1465890113455756,0.01688467840659302
0,trf_6_4910a_t2,8.025369105992278,3.4467946445380755,0.19457609450623886,0.18217910472536208,8.025369105992278,3.4467946445380755,0.19457609450623886,0.18217910472536208
0,trf_6_1541a_t2,0.6687244745062767,0.25098310702132165,0.07991040931065577,0.002663069479760452,0.6687244745062767,0.25098310702132165,0.07991040931065577,0.002663069479760452
0,trf_6_1350a_t2,0.7386843830321232,0.236225381489481,0.18343223611016857,0.0009836928488674772,0.7386843830321232,0.236225381489481,0.18343223611016857,0.0009836928488674772
0,trf_6_808a_t2,0.5718803556514847,0.21016475584216418,0.0795111181185913,0.0017607913682176957,0.5718803556514847,0.21016475584216418,0.0795111181185913,0.0017607913682176957
0,trf_6_810a_t2,0.9373019245916311,0.3400728796634791,0.13958010089714196,0.0025321698177830994,0.9373019245916311,0.3400728796634791,0.13958010089714196,0.0025321698177830994
0,trf_16_3130a_t2,1.3117705078175237,0.4998468115534732,0.14151144650870892,0.006050880541002602,1.3117705078175237,0.4998468115534732,0.14151144650870892,0.006050880541002602
0,trf_6_1048a_t2,0.22398843200624152,0.061605300698007,0.07922969703876119,0.00026630327087589475,0.22398843200624152,0.061605300698007,0.07922969703876119,0.00026630327087589475
0,trf_6_6273a_t2,1.3555952325980507,0.5195478423275607,0.1395131825310586,0.004977603159144086,1.3555952325980507,0.5195478423275607,0.1395131825310586,0.004977603159144086
0,trf_6_731a_t2,0.21699707553219758,0.05861637918053853,0.0792974633929926,0.0002463442421034543,0.21699707553219758,0.05861637918053853,0.0792974633929926,0.0002463442421034543
0,trf_6_732a_t2,0.8243565497819464,0.29220496371997623,0.1389349398140851,0.0018255140566815272,0.8243565497819464,0.29220496371997623,0.1389349398140851,0.0018255140566815272
0,trf_6_730a_t2,0.2963881333715399,0.09225599931380714,0.07975324773380212,0.000668192142431414,0.2963881333715399,0.09225599931380714,0.07975324773380212,0.000668192142431414
0,trf_6_729a_t2,0.9696941206048187,0.3804490859954549,0.08156390016405533,0.005474402923332235,0.9696941206048187,0.3804490859954549,0.08156390016405533,0.005474402923332235
0,trf_16_299a_t2,1.3839389891831924,0.5106839186027307,0.1852470983168878,0.003966359227911269,1.3839389891831924,0.5106839186027307,0.1852470983168878,0.003966359227911269
0,trf_11_130a_t2,0.37106653597449796,0.12409264484308492,0.07924767023193709,0.0008337008849737535,0.37106653597449796,0.12409264484308492,0.07924767023193709,0.0008337008849737535
0,trf_6_1151a_t2,0.6392937053740584,0.21326473913964888,0.13928976523292297,0.0013686119938843477,0.6392937053740584,0.21326473913964888,0.13928976523292297,0.0013686119938843477
