Barramento,Nivel_Hierarquico
50081,239
801041,239
6cf1828,239
809441,240
43891,240
689361,240
349311,240
et6_733,240
50071,240
801051,240
800991,240
809451,241
43901,241
689371,241
349321,241
bt33441,241
50061,241
801061,241
801001,241
809461,242
43911,242
689381,242
349331,242
uc605908,242
50051,242
801071,242
801011,242
809471,243
43921,243
689391,243
349341,243
50041,243
801081,243
801021,243
809481,244
278741,244
43931,244
689401,244
349351,244
50031,244
801091,244
et6_6249,244
809491,245
278771,245
43941,245
689411,245
mrt_349351trf_6_2417a,245
50021,245
801101,245
uc639280,245
uc637918,245
809501,246
278761,246
43951,246
689421,246
et6_2417,246
50011,246
822931,246
et6_6386,247
622561,247
43961,247
689431,247
uc605993,247
50001,247
6cs1960,247
mrt_622561trf_6_3508a,248
43971,248
mrt_689431trf_6_5472a,248
49991,248
801111,248
et6_3508,249
43981,249
et6_5472,249
mrt_49991trf_6_4704a,249
30721,249
801121,249
43991,250
uc634166,250
et6_4704,250
30711,250
801131,250
44001,251
uc631391,251
48201,251
801141,251
44011,252
24501,252
44401,252
801151,252
686731,253
6fr129,253
29721,253
801161,253
44601,254
765251,254
48211,254
29711,254
801171,254
44611,255
6cf1654,255
48221,255
29701,255
801181,255
et6_735,256
686741,256
48231,256
29631,256
801191,256
uc605909,257
686751,257
48241,257
24491,257
29621,257
801201,257
686761,258
48251,258
6cf130,258
29611,258
801471,258
686771,259
48261,259
29641,259
29601,259
60971,259
686781,260
48271,260
29651,260
2301,260
60961,260
686791,261
48281,261
29661,261
29591,261
21731,261
801501,261
686801,262
30451,262
29671,262
46631,262
24481,262
21721,262
16cf1889,262
686811,263
30461,263
29681,263
46641,263
6cf131,263
60341,263
60991,263
686821,264
30471,264
mrt_29681trf_6_1238a,264
46651,264
29581,264
60331,264
61001,264
et16_538,264
686831,265
30481,265
et6_1238,265
46711,265
et6_729,265
29571,265
60321,265
415981,265
uc1607255,265
686841,266
30491,266
bt29671,266
46721,266
bt46661,266
29561,266
31742,266
16cf691,266
686851,267
30501,267
uc606103,267
46731,267
uc606122,267
29551,267
22951,267
31731,267
61011,267
686861,268
30511,268
46741,268
37531,268
16cf179,268
30901,268
61021,268
686871,269
30521,269
46751,269
37521,269
713791,269
60121,269
30891,269
801511,269
61031,269
686881,270
30531,270
57491,270
659561,270
37511,270
et6_4998,270
60131,270
30881,270
16cf1888,270
61041,270
770071,271
30541,271
57501,271
37501,271
60141,271
30871,271
30911,271
61051,271
6cf1620,272
30551,272
57511,272
37491,272
et6_730,272
60151,272
30861,272
30921,272
61061,272
686891,273
30561,273
57521,273
371611,273
bt37511,273
bt37491,273
60171,273
30851,273
30931,273
61071,273
et6_5725,274
30571,274
824361,274
824351,274
37481,274
bt37521,274
bt371611,274
60181,274
et16_539,274
30841,274
30941,274
61081,274
30631,275
30581,275
824371,275
et6_727,275
37471,275
bt37531,275
bt37481,275
60241,275
bt60181,275
30831,275
801521,275
30951,275
et16_537,275
61091,275
30641,276
30591,276
824381,276
bt57541,276
560581,276
bt23131,276
bt37471,276
60251,276
bt60191,276
30821,276
16cf1887,276
30961,276
bt541511,276
61111,276
30651,277
30601,277
824391,277
uc606121,277
6fr521,277
uc606102,277
uc606101,277
60261,277
bt60201,277
30811,277
574241,277
45661,277
uc1607257,277
61121,277
30661,278
30611,278
824401,278
37461,278
60271,278
bt60211,278
48462,278
mrt_574241trf_16_3328a,278
45671,278
61131,278
30671,279
30621,279
824411,279
37451,279
60281,279
bt60221,279
48481,279
48451,279
807731,279
et16_3328,279
288361,279
61141,279
30681,280
et6_731,280
824421,280
37441,280
322621,280
60291,280
bt60231,280
48491,280
48421,280
et16_6312,280
uc1625170,280
31721,280
61151,280
30691,281
uc605911,281
824431,281
37431,281
337661,281
60301,281
797061,281
mrt_48421trf_16_2139a,281
48411,281
bt48472,281
mrt_31721trf_16_3996a,281
61161,281
30701,282
824441,282
37421,282
337671,282
33481,282
16cf1637,282
et16_2139,282
48401,282
uc1607355,282
et16_3996,282
61171,282
et6_732,283
824451,283
37411,283
337681,283
716001,283
797071,283
bt48451,283
bt48431,283
48391,283
bt450991,283
uc1607252,283
uc1607258,283
61181,283
uc605910,284
824501,284
824461,284
37401,284
574251,284
337691,284
720221,284
48501,284
bt48461,284
bt48441,284
48381,284
bt566341,284
43051,284
6cf133,285
824471,285
37391,285
574261,285
mrt_337691trf_16_2195a,285
720231,285
48511,285
bt424151,285
uc1607265,285
uc1632402,285
310331,285
uc1229546,285
mrt_43051trf_16_3221a,285
1871,286
824481,286
37381,286
et16_2195,286
724261,286
48521,286
uc1630759,286
48371,286
et16_3221,286
1881,287
824491,287
37371,287
uc1627323,287
724271,287
48531,287
356521,287
bt806241,287
uc1607357,287
uc1631852,287
1891,288
824511,288
827081,288
37361,288
724281,288
30731,288
48541,288
48361,288
uc637356,288
1901,289
824521,289
1951,289
822741,289
mrt_724281trf_16_5003a,289
30741,289
48551,289
309871,289
et16_1301,289
1911,290
824681,290
11431,290
822731,290
et16_5003,290
30751,290
48561,290
48331,290
uc1607358,290
et6_1030,291
6cf1963,291
6cs690,291
822721,291
uc1632306,291
30761,291
mrt_48561trf_16_6081a,291
48321,291
uc606114,292
824531,292
1961,292
822711,292
30771,292
et16_6081,292
48311,292
824541,293
1971,293
822701,293
mrt_30771trf_16_6082a,293
uc1607353,293
48301,293
et16_299,293
824551,294
1981,294
822691,294
et16_6082,294
48291,294
bt356531,294
bt48321,294
824561,295
1991,295
822681,295
bt30781,295
uc1607350,295
37761,295
bt356541,295
uc1607280,295
824571,296
2001,296
822671,296
bt30791,296
37741,296
bt360141,296
824581,297
2011,297
822661,297
bt819871,297
801491,297
bt37751,297
824591,298
2021,298
822651,298
uc1607349,298
801481,298
uc1607279,298
824601,299
2031,299
822631,299
16cs1827,299
824611,300
2041,300
822751,300
822621,300
37731,300
824621,301
61411,301
6cf1964,301
822611,301
37671,301
824631,302
7721,302
822641,302
822601,302
37651,302
37691,302
37681,302
824641,303
7761,303
et6_725,303
822591,303
37641,303
583991,303
824651,304
7771,304
bt61411,304
822581,304
37631,304
37702,304
824661,305
822381,305
7781,305
bt2041,305
822571,305
37621,305
73361,305
824691,306
6cf1953,306
7791,306
bt2051,306
822561,306
37611,306
37711,306
6cf2001,307
822391,307
7801,307
bt61391,307
822551,307
37601,307
824671,308
822371,308
7811,308
bt61401,308
822541,308
37591,308
et6_6496,309
7821,309
822531,309
37581,309
7831,310
822521,310
37571,310
7841,311
822511,311
37561,311
7851,312
822501,312
36971,312
7861,313
822491,313
mrt_36971trf_16_1095a,313
36961,313
7871,314
822481,314
et16_1095,314
36951,314
7881,315
822471,315
bt37551,315
bt37541,315
18581,315
7891,316
822461,316
uc1605991,316
uc1607282,316
18551,316
7901,317
822451,317
18541,317
et16_3130,317
7911,318
135312,318
18531,318
bt18561,318
bt18571,318
7921,319
135301,319
18521,319
uc1607284,319
uc1607285,319
uc1607283,319
320721,320
7931,320
134571,320
et6_2090,320
18511,320
6fr134,321
7941,321
134561,321
uc607384,321
18501,321
319031,322
7951,322
134551,322
mrt_18501trf_16_300a,322
27231,322
319041,323
320731,323
7961,323
134541,323
et16_300,323
27221,323
794731,323
319051,324
320741,324
7971,324
134531,324
bt18511,324
641791,324
72911,324
16cf1723,324
319061,325
320751,325
7981,325
134521,325
uc1607287,325
16cf1092,325
72901,325
27241,325
319071,326
320761,326
7991,326
134511,326
641731,326
72891,326
27251,326
319081,327
320771,327
8001,327
62931,327
134381,327
641741,327
72881,327
27261,327
319091,328
320781,328
62911,328
62941,328
24511,328
134391,328
641751,328
72871,328
27271,328
319101,329
