Barramento,Nivel_Hierarquico
uc1131858,408
uc1130761,408
21851,408
818791,408
799881,409
758831,409
413151,409
42461,409
et11_4785,409
bt21902,409
21841,409
818781,409
799891,410
758841,410
417951,410
42471,410
uc1132012,410
21831,410
818771,410
799901,411
758851,411
42481,411
21821,411
818761,411
799911,412
758861,412
mrt_42481trf_11_132a,412
755641,412
21811,412
818751,412
et6_6197,413
758871,413
et11_132,413
755651,413
42491,413
21801,413
818741,413
bt823311,414
uc637360,414
758881,414
bt755641,414
bt42471,414
uc1137150,414
755661,414
253031,414
62141,414
21781,414
818731,414
bt823321,415
764522,415
bt42491,415
bt322201,415
mrt_755661trf_11_5652a,415
641011,415
62151,415
49521,415
818721,415
bt823331,416
uc639553,416
759032,416
bt42501,416
uc1121173,416
uc1107333,416
et11_5652,416
640981,416
62161,416
49511,416
et11_130,416
818711,416
759021,417
bt62131,417
mrt_640981trf_11_3987a,417
62171,417
49501,417
bt49531,417
bt21781,417
818701,417
uc1107334,418
et11_3987,418
62181,418
45681,418
bt49541,418
bt21791,418
818691,418
uc1138614,419
uc1132019,419
62191,419
48841,419
bt49551,419
uc1124340,419
uc1107345,419
uc1107342,419
818681,419
62201,420
48831,420
bt49561,420
818671,420
62221,421
48821,421
bt49571,421
818661,421
62231,422
48811,422
818631,422
62241,423
48801,423
818621,423
62251,424
48791,424
818611,424
62261,425
48781,425
818601,425
et11_6482,425
62271,426
48771,426
818591,426
uc1139390,426
62281,427
48761,427
818581,427
62291,428
48751,428
818571,428
62301,429
48741,429
818561,429
62311,430
48731,430
818551,430
et11_133,431
48721,431
818541,431
bt62321,432
48711,432
818531,432
bt62331,433
48701,433
818521,433
bt62341,434
48681,434
818511,434
bt62351,435
mrt_48681trf_11_2597a,435
48671,435
818501,435
et11_2597,436
48661,436
818491,436
bt48691,437
48651,437
818641,437
uc1105833,438
uc1124041,438
48641,438
11cs1939,438
48631,439
818651,439
48601,440
818481,440
48591,441
818471,441
26361,442
818461,442
mrt_26361trf_6_129a,443
22961,443
26351,443
818451,443
et6_129,444
6fr185,444
26341,444
818441,444
bt26371,445
bt48591,445
26411,445
26331,445
818431,445
bt26381,446
bt48601,446
26421,446
26321,446
818421,446
bt26391,447
bt48611,447
26431,447
26311,447
818411,447
bt250121,448
bt48621,448
26441,448
10641,448
818401,448
bt26401,449
26451,449
626991,449
818391,449
uc605834,450
uc605835,450
26671,450
709151,450
10631,450
818381,450
26681,451
mrt_709151trf_6_3256a,451
10601,451
818371,451
26691,452
et6_3256,452
10591,452
818361,452
26701,453
bt26451,453
bt26661,453
10581,453
818351,453
26711,454
bt26671,454
uc605836,454
10571,454
818341,454
26721,455
bt26681,455
mrt_10571trf_6_128a,455
10561,455
818331,455
26731,456
et6_128,456
69271,456
818321,456
26741,457
bt10561,457
bt10581,457
806231,457
69261,457
818311,457
26751,458
26881,458
bt69271,458
bt10591,458
6cf1852,458
69251,458
818301,458
26761,459
26891,459
bt10501,459
bt10601,459
10521,459
69241,459
818291,459
26771,460
26901,460
bt10511,460
bt10611,460
10531,460
69231,460
818281,460
26781,461
26911,461
uc605828,461
uc605827,461
bt10621,461
10551,461
69221,461
818271,461
26791,462
26921,462
mrt_10551trf_6_6272a,462
69211,462
818261,462
mrt_26791trf_34_1018a,463
26931,463
et6_6272,463
69201,463
818251,463
et34_1018,464
37771,464
bt806211,464
uc605829,464
69191,464
818241,464
bt26801,465
bt26781,465
mrt_37771trf_34_1649a,465
37781,465
bt806221,465
69181,465
818231,465
bt26811,466
bt26771,466
et34_1649,466
37791,466
uc637912,466
69171,466
818221,466
uc3405838,467
bt26761,467
bt37781,467
37811,467
69161,467
818211,467
bt26751,468
bt37791,468
37821,468
69151,468
818201,468
bt26741,469
bt37801,469
37831,469
69141,469
818171,469
bt26881,470
uc3405843,470
37871,470
37841,470
69131,470
818181,470
uc628768,471
37881,471
37851,471
66431,471
11cs1947,471
37961,472
37891,472
mrt_37851trf_34_5029a,472
66441,472
66421,472
818191,472
37971,473
37901,473
et34_5029,473
596121,473
66451,473
66411,473
818161,473
37981,474
37911,474
bt37861,474
mrt_596121trf_6_3434a,474
792841,474
66401,474
818151,474
48581,475
676901,475
37921,475
uc3405844,475
uc3405845,475
et6_3434,475
6fr180,475
66391,475
818141,475
mrt_48581trf_6_1019a,476
326211,476
34cf1358,476
37931,476
uc605825,476
792851,476
66381,476
818131,476
et6_1019,477
326241,477
614771,477
37941,477
66461,477
65661,477
818121,477
bt37981,478
uc3422597,478
uc3405847,478
uc3435739,478
uc3432407,478
326221,478
618981,478
37951,478
66471,478
mrt_65661trf_6_125a,478
65601,478
818111,478
bt37991,479
bt37971,479
326231,479
618991,479
mrt_37951trf_34_1581a,479
676541,479
66481,479
et6_125,479
65591,479
818101,479
bt48571,480
uc3405987,480
bt37961,480
597571,480
619001,480
et34_1581,480
676551,480
66491,480
bt65601,480
65581,480
818091,480
bt37881,481
597581,481
619011,481
uc3405846,481
676581,481
66501,481
et6_3011,481
bt65591,481
bt65611,481
65571,481
818081,481
bt37871,482
mrt_619011trf_34_5142a,482
mrt_676581trf_34_5260a,482
627001,482
bt475931,482
uc624028,482
bt65581,482
bt65621,482
74211,482
818071,482
bt37831,483
et34_5142,483
et34_5260,483
627011,483
bt475941,483
uc605859,483
bt65631,483
74201,483
818061,483
uc3422706,484
uc3425629,484
uc3433894,484
66511,484
bt475951,484
uc622720,484
bt65641,484
74191,484
818051,484
66521,485
bt475961,485
bt65651,485
74181,485
818041,485
66531,486
uc622267,486
uc605873,486
74171,486
818031,486
627021,487
74161,487
818021,487
66541,488
74031,488
818011,488
66551,489
74041,489
13651,489
818001,489
66561,490
74131,490
13641,490
817991,490
66571,491
et6_3819,491
74141,491
et6_124,491
10031,491
817981,491
66581,492
bt66551,492
bt66571,492
uc625624,492
uc605821,492
uc639277,492
uc630753,492
74151,492
bt74051,492
bt74061,492
bt74141,492
68341,492
817971,492
8891,493
66591,493
bt66541,493
uc605823,493
bt66581,493
bt74041,493
bt74091,493
uc605864,493
bt74151,493
uc607385,493
uc605985,493
6fr183,493
817961,493
8901,494
66601,494
bt627021,494
bt74031,494
bt74071,494
uc622722,494
uc605865,494
bt74081,494
uc605867,494
322611,494
817951,494
8951,495
8911,495
66611,495
bt66531,495
bt74161,495
uc605863,495
uc638617,495
bt74101,495
68331,495
817941,495
8961,496
mrt_8911trf_6_3820a,496
66621,496
bt66521,496
bt74171,496
bt33461,496
bt74111,496
68321,496
817931,496
796401,497
8971,497
et6_3820,497
66631,497
bt66511,497
uc623004,497
bt74121,497
814581,497
817921,497
et6_6158,498
8981,498
bt8901,498
bt8921,498
66641,498
814591,498
817911,498
uc637397,499
8991,499
bt8891,499
bt8931,499
bt8941,499
308601,499
814601,499
817901,499
9001,500
bt66582,500
uc605822,500
uc605820,500
474641,500
68201,500
817891,500
9011,501
474661,501
68211,501
68191,501
817881,501
9021,502
mrt_474661trf_6_3019a,502
68221,502
68181,502
817871,502
9031,503
et6_3019,503
68231,503
68171,503
817861,503
mrt_9031trf_6_3538a,504
662561,504
9671,504
9081,504
bt743931,504
bt474641,504
bt474671,504
uc622709,504
mrt_68231trf_6_1344a,504
68161,504
817851,504
et6_3538,505
9041,505
9681,505
9091,505
bt743941,505
bt8871,505
bt474681,505
et6_1344,505
68151,505
817841,505
uc626678,506
9051,506
9691,506
620961,506
326251,506
bt8881,506
bt68251,506
68141,506
817831,506
9061,507
et6_4910,507
9701,507
9101,507
mrt_326251trf_6_4249a,507
uc605824,507
bt68261,507
71191,507
817821,507
9071,508
uc632607,508
9731,508
9111,508
et6_4249,508
bt68271,508
uc623432,508
71201,508
71181,508
817801,508
mrt_9071trf_6_1870a,509
9741,509
mrt_9111trf_6_127a,509
bt9091,509
bt326261,509
71211,509
71171,509
817791,509
et6_1870,510
9751,510
et6_127,510
bt9081,510
uc609688,510
71221,510
71161,510
817781,510
uc605817,511
609121,511
et6_1541,511
bt9121,511
bt9101,511
uc605855,511
uc605819,511
71231,511
33471,511
817771,511
69101,512
bt609121,512
bt9131,512
bt620961,512
uc639387,512
71241,512
51411,512
817761,512
69111,513
bt69101,513
bt9141,513
bt9092,513
71261,513
51421,513
51401,513
817751,513
751701,514
bt33451,514
bt356501,514
mrt_71261trf_6_1212a,514
71291,514
51431,514
51391,514
817741,514
et6_5595,515
uc605816,515
uc609682,515
et6_1212,515
71301,515
51481,515
51381,515
817811,515
uc605815,516
uc635862,516
bt71242,516
bt71281,516
bt71271,516
71311,516
51491,516
51371,516
817731,516
bt71231,517
bt71251,517
bt71291,517
uc605921,517
71321,517
51501,517
51361,517
817721,517
71331,518
51511,518
51351,518
817711,518
mrt_71331trf_6_1213a,519
71111,519
51341,519
817701,519
et6_1213,520
71121,520
70261,520
817691,520
bt71341,521
71131,521
70251,521
817681,521
bt71351,522
71141,522
43121,522
817671,522
uc605915,523
71151,523
43111,523
817661,523
et6_122,524
610401,524
817651,524
uc605970,525
6cf199,525
817641,525
43101,526
817631,526
44071,527
817621,527
44081,528
817611,528
44091,529
817601,529
44101,530
817591,530
44111,531
817581,531
44121,532
817571,532
44131,533
817561,533
44141,534
817551,534
44151,535
817541,535
44161,536
817531,536
44171,537
817521,537
44181,538
817511,538
44191,539
817501,539
3221,540
817471,540
616141,541
3231,541
817461,541
mrt_616141trf_6_3507a,542
mrt_3231trf_6_878a,542
817451,542
et6_3507,543
et6_878,543
817441,543
uc626481,544
uc605884,544
817431,544
817421,545
817411,546
817401,547
817391,548
817381,549
817371,550
817361,551
817351,552
817341,553
817331,554
817321,555
817311,556
817301,557
817291,558
817281,559
817271,560
817491,561
817261,562
817251,563
817241,564
817231,565
et12_6578,565
817481,566
bt825611,566
817221,567
bt825621,567
817211,568
uc1239552,568
817201,569
817191,570
817181,571
817171,572
817161,573
817151,574
817141,575
817131,576
817121,577
817111,578
817101,579
et12_6577,579
817091,580
bt825631,580
815721,581
815711,582
815701,583
815691,584
815681,585
818991,586
12cs1935,587
819001,588
815671,589
815661,590
815651,591
815641,592
815631,593
815621,594
815611,595
815601,596
815591,597
815581,598
815571,599
815561,600
815551,601
815541,602
815531,603
815521,604
815511,605
815501,606
815491,607
815481,608
815471,609
815461,610
815451,611
815441,612
815762,613
