voltageLevel,minVoltagePu,meanVoltagePu,maxVoltagePu,maxViolationPu,violationCount,violationPct
MV,0.9774472780727376,0.990599065129123,0.9992254319762659,0.0,0,0.0
LV,0.0,0.5948184723251001,1.0833421745247591,0.95,6918,40.146239554317546
