hour,element,line,bus1,bus2,normAmps,maxCurrentA,loadingRatio,loadingPct,isOverloaded,activeLossesKw,reactiveLossesKvar
0,Line.smt_34422,smt_34422,62911,62921,163.8,0.016628965586322722,0.00010151993642443664,0.010151993642443664,0,7.874671382523957e-08,-0.04819008576714623
0,Line.smt_34421,smt_34421,8001,62911,163.8,0.016246342307018418,9.91840189683664e-05,0.00991840189683664,0,9.742298928472337e-08,-0.0628840186805814
0,Line.smt_34420,smt_34420,7991,8001,163.8,0.015872643511327788,9.690258553924167e-05,0.009690258553924167,0,9.089631151937284e-08,-0.06087386280890596
0,Line.smt_34711,smt_34711,780431,71861,286.65,8.90251293357028,0.031057083319624215,3.1057083319624215,0,0.007431797149358317,-0.04181316555811463
0,Line.smt_34710,smt_34710,780421,71851,286.65,8.90272509710921,0.031057823468024458,3.105782346802446,0,0.0065397415232728235,-0.03678883183310973
0,Line.smt_34709,smt_34709,780411,71841,286.65,8.902930977788762,0.031058541698199067,3.1058541698199065,0,0.006394448572274996,-0.03596652388563598
0,Line.smt_34708,smt_34708,71841,71831,286.65,8.903118173595793,0.03105919474479607,3.105919474479607,0,0.011479303716099822,-0.06456073982147972
0,Line.smt_34707,smt_34707,71831,71821,286.65,8.903263456462359,0.031059701574960262,3.105970157496026,0,0.008895809831563383,-0.05002535448825074
0,Line.smt_34706,smt_34706,71821,71811,286.65,8.903419607959306,0.031060246321155786,3.1060246321155787,0,0.009548418544480228,-0.05368988106395409
0,Line.smt_34705,smt_34705,780401,71801,286.65,8.903683730483571,0.031061167732368992,3.106116773236899,0,0.008010380762061686,-0.04503331737158624
0,Line.smt_34704,smt_34704,780391,71791,286.65,8.903903909295122,0.03106193584264826,3.106193584264826,0,0.006686766200640705,-0.03758633960746374
0,Line.smt_34703,smt_34703,71791,71781,286.65,8.90407989605675,0.031062549785650623,3.106254978565062,0,0.010699326739733806,-0.06013524040189804
0,Line.smt_34702,smt_34702,71781,71771,286.65,8.904226504789579,0.031063061241198602,3.10630612411986,0,0.008900615804159316,-0.0500202646188136
0,Line.smt_34701,smt_34701,780381,71751,286.65,8.904441954525746,0.0310638128537441,3.10638128537441,0,0.006560990186670097,-0.0368661209528691
0,Line.smt_34700,smt_34700,71751,71741,286.65,8.904568728687188,0.03106425511490385,3.106425511490385,0,0.00767272386753757,-0.04310957661698194
0,Line.smt_34721,smt_34721,16cs245,553961,286.65,8.902201606418265,0.031055997231530665,3.1055997231530665,0,0.0001678246025549015,-0.0009444637919168599
0,Line.smt_34720,smt_34720,71871,780431,286.65,8.902392366903342,0.03105666271377409,3.1056662713774092,0,0.0068558849038236076,-0.03857593424514016
0,Line.smt_34719,smt_34719,71861,780421,286.65,8.902618790695485,0.031057452610136004,3.1057452610136003,0,0.006518364098839811,-0.03667118247557301
0,Line.smt_34718,smt_34718,71851,780411,286.65,8.902826838506083,0.031058178400509624,3.1058178400509626,0,0.006253031133339391,-0.0351735229469632
0,Line.smt_34717,smt_34717,71811,780401,286.65,8.903552408152565,0.031060709604578986,3.1060709604578984,0,0.00811005492557888,-0.04559769860688539
0,Line.smt_34716,smt_34716,71801,780391,286.65,8.903794061621904,0.03106155263081076,3.1061552630810763,0,0.006722752247325843,-0.03779139822753132
0,Line.smt_34715,smt_34715,71771,780381,286.65,8.90433366068708,0.03106343506257485,3.1063435062574847,0,0.006498158642745693,-0.03651569013882181
0,Line.smt_34714,smt_34714,553951,780441,286.65,8.902198333868338,0.031055985814995076,3.1055985814995077,0,0.00023367289529414848,-0.001314992994079148
0,Line.smt_34713,smt_34713,71741,536711,286.65,8.904622290811242,0.031064441970386332,3.106444197038633,0,0.0032182737875846214,-0.018214585884430562
0,Line.smt_34712,smt_34712,553961,71871,286.65,8.902281260522008,0.031056275110839034,3.1056275110839033,0,0.004919279981506406,-0.027681036050706098
0,Line.smt_40856,smt_40856,824391,824401,286.65,1.400532773606629,0.004885863504645488,0.48858635046454885,0,0.0002653214521596965,-0.05782537500633407
0,Line.smt_40855,smt_40855,824381,824391,286.65,1.400403947102874,0.004885414083735824,0.4885414083735824,0,0.00025103094140649775,-0.05472215231046539
0,Line.smt_40859,smt_40859,824421,824431,286.65,1.4009102607184467,0.004887180396715321,0.4887180396715321,0,0.0002194525527411315,-0.047797147237371516
0,Line.smt_40858,smt_40858,824411,824421,286.65,1.400800111317728,0.004886796132278835,0.4886796132278835,0,0.00026946034888533177,-0.0587012187668538
0,Line.smt_40857,smt_40857,824401,824411,286.65,1.4006662364664035,0.004886329099830468,0.48863290998304676,0,0.00027172493512625805,-0.05920793281822898
0,Line.smt_36130,smt_36130,16cf1699,790091,163.8,0.006346337728712827,3.874443057822238e-05,0.0038744430578222383,0,1.4862671442017473e-08,-0.00021187191017542516
0,Line.smt_36129,smt_36129,755911,790081,163.8,0.006372091401999268,3.8901656910862437e-05,0.0038901656910862435,0,3.3778603025780286e-09,-0.00038501734338937865
0,Line.smt_36128,smt_36128,790041,790051,163.8,0.004415805553067896,2.6958519859999366e-05,0.0026958519859999366,0,2.2961597210269245e-09,-0.02203489931271455
0,Line.smt_36127,smt_36127,790031,790041,163.8,0.005271674371205823,3.218360421981576e-05,0.0032183604219815764,0,3.3337060330040912e-09,-0.02473458636096585
0,Line.smt_36126,smt_36126,790021,790031,163.8,0.00606432199545451,3.7022722804972585e-05,0.0037022722804972586,0,2.9816612112654185e-09,-0.015931562037147243
0,Line.smt_36125,smt_36125,790091,790021,163.8,0.006334471386260731,3.8671986485108244e-05,0.0038671986485108245,0,5.259641540078519e-10,-0.004916389864637076
0,Line.smt_36207,smt_36207,21981,21971,163.8,0.9239525051405821,0.005640735684618938,0.5640735684618938,0,0.00030576491953615917,-0.073681097099407
0,Line.smt_36206,smt_36206,21861,21851,163.8,0.8193946859971517,0.0050024095604221715,0.5002409560422172,0,0.00020609949356185098,-0.0659349082982917
0,Line.smt_36326,smt_36326,48531,30731,163.8,0.03224381183806049,0.0001968486681200274,0.01968486681200274,0,1.4089285690488394e-07,-0.022779516272326297
0,Line.smt_36333,smt_36333,48551,48561,163.8,0.014743854277424,9.001132037499388e-05,0.00900113203749939,0,3.680964644559026e-08,-0.029431839404653465
0,Line.smt_36332,smt_36332,48541,48551,163.8,0.014221002191660571,8.681930519939298e-05,0.008681930519939297,0,2.5877241597527244e-08,-0.021515774954352317
0,Line.smt_36331,smt_36331,48531,48541,163.8,0.014052135828342057,8.578837502040327e-05,0.008578837502040327,0,2.1944616321434295e-08,-0.018535424966064574
0,Line.smt_36330,smt_36330,30761,30771,163.8,0.03384970571733237,0.00020665266005697415,0.020665266005697416,0,1.3657484993245818e-07,-0.020148282159888994
0,Line.smt_36329,smt_36329,30751,30761,163.8,0.03335373394098262,0.00020362474933444824,0.020362474933444823,0,1.0489142840697241e-07,-0.015865881082878844
0,Line.smt_36328,smt_36328,30741,30751,163.8,0.03300721240289289,0.00020150923322889428,0.020150923322889428,0,1.4676638431865286e-07,-0.022761460761577923
0,Line.smt_36327,smt_36327,30731,30741,163.8,0.03258050012272697,0.0001989041521534003,0.019890415215340032,0,1.4148715638384601e-07,-0.02244609712597405
0,Line.smt_36563,smt_36563,6fr180,792851,163.8,0.5391456476028238,0.003291487470102709,0.3291487470102709,0,1.3526402008210425e-06,-0.0010911914508924382
0,Line.smt_36562,smt_36562,66451,792841,163.8,0.5391376815854861,0.0032914388375182304,0.329143883751823,0,1.7784365572879325e-06,-0.001441426726802547
0,Line.smt_36561,smt_36561,792851,66461,163.8,0.5395204987833055,0.003293775938848019,0.3293775938848019,0,7.662048164547742e-05,-0.06123386462838062
0,Line.smt_36560,smt_36560,66431,66441,163.8,0.5388127050623889,0.0032894548538607376,0.32894548538607377,0,9.11097202288147e-05,-0.07005088997902703
0,Line.smt_36787,smt_36787,755911,793981,163.8,0.0034139542042195183,2.0842211258971418e-05,0.002084221125897142,0,8.894715364249351e-11,-0.006868820561256931
