hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,404.51332764174504,50.553085135660304,21.408470237485147,-109.35316398763716
1,389.51768601006864,44.067522985408395,21.271516025068003,-109.57708916724695
2,379.6684277057422,39.78141966657903,21.17938404132735,-109.74908263137941
3,376.40555153442375,38.29306465057097,21.137177895629613,-109.875957823609
4,376.31582389442667,38.26575454177556,21.139302531618927,-109.86447792843745
5,556.2165261133783,116.70819396684355,23.25002461589446,-106.22213709514405
6,703.0044567379987,182.9826258698611,26.513705840060222,-99.78581759642184
7,956.5471937775131,291.0498542276173,31.429630216765574,-94.6520117325869
8,1102.1853555361192,350.298307904299,35.14560382971426,-93.3019766159147
9,1045.2582060954617,325.85450120841966,35.075567986670585,-93.70556794492221
10,905.7438631937999,269.05373016426574,34.81246227432305,-92.72954429538949
11,933.4430592989063,281.9865732315363,36.663550440756175,-90.27235288547763
12,835.1032442930391,241.0170092148725,34.932027620563645,-91.60572616796333
13,882.2672391793714,261.0781986138793,36.11613688467911,-90.39270610946264
14,737.2558099881426,199.6228541954741,33.02496207676307,-93.51163324462337
15,670.8385086196433,170.87012158214094,31.266150024749447,-95.6038101893753
16,691.81887874602,177.14839649537194,28.936404245981766,-99.11223507607015
17,815.5340409515616,229.17894060153517,28.760065290909775,-98.85200503520893
18,890.6357276576114,263.84269937008474,30.01539067462019,-95.51267700232984
19,746.9845170773642,200.6264479715871,26.671329674342726,-100.65649952087307
20,576.4562346096121,125.60927378963841,23.560720402895868,-105.68297401817699
21,483.64617285980086,84.94851960716454,22.26162767469197,-107.91145652331923
22,477.6652355620617,82.18641565833802,22.15591974156368,-108.19514140041447
23,457.71538265421293,73.5365825265147,21.931810314749388,-108.54937282984248
