hour,meterName,activeEnergyKWh,reactiveEnergyKvarh,activeLossesKWh,reactiveLossesKvarh,deltaActiveEnergyKWh,deltaReactiveEnergyKvarh,deltaActiveLossesKWh,deltaReactiveLossesKvarh
0,busa4-_202312598_segmmt_24122,349.34435128543305,29.416263136986775,15.380201973648338,-109.79448150420842,349.34435128543305,29.416263136986775,15.380201973648338,-109.79448150420842
0,trf_16_1585a_t2,0.17178644872951349,0.03932620152793993,0.07899155472107873,7.245043059204672e-05,0.17178644872951349,0.03932620152793993,0.07899155472107873,7.245043059204672e-05
0,trf_16_1143a_t2,2.4937054133679393,1.0122462893712256,0.1479192768157033,0.019945785339806146,2.4937054133679393,1.0122462893712256,0.1479192768157033,0.019945785339806146
0,trf_6_4910a_t2,8.730747074299732,3.7628866263041267,0.20529577316899805,0.2161653016501625,8.730747074299732,3.7628866263041267,0.20529577316899805,0.2161653016501625
0,trf_6_1541a_t2,0.7217028785478832,0.27347038749447644,0.08000449763066586,0.003124594802737363,0.7217028785478832,0.27347038749447644,0.08000449763066586,0.003124594802737363
0,trf_6_1350a_t2,0.788652182685071,0.25744428392151464,0.18328121924246132,0.0011225308746148242,0.788652182685071,0.25744428392151464,0.18328121924246132,0.0011225308746148242
0,trf_6_808a_t2,0.6162610490943718,0.22909264344884442,0.07949211138152577,0.0020505292511361264,0.6162610490943718,0.22909264344884442,0.07949211138152577,0.0020505292511361264
0,trf_6_810a_t2,1.0092530064753975,0.37065499671837154,0.13962350515260913,0.0029505620082614713,1.0092530064753975,0.37065499671837154,0.13962350515260913,0.0029505620082614713
0,trf_16_3130a_t2,1.417390026044587,0.5447697445130146,0.14195244921863695,0.007112904281849107,1.417390026044587,0.5447697445130146,0.14195244921863695,0.007112904281849107
0,trf_6_1048a_t2,0.23697596722473063,0.06713623521378745,0.07914795620454107,0.00029815719895469073,0.23697596722473063,0.06713623521378745,0.07914795620454107,0.00029815719895469073
0,trf_6_6273a_t2,1.465258712201283,0.5663885636600072,0.1395556715282455,0.005833145274046113,1.465258712201283,0.5663885636600072,0.1395556715282455,0.005833145274046113
0,trf_6_731a_t2,0.22936102363815508,0.06388393455998663,0.0792232593399814,0.00027568185792559776,0.22936102363815508,0.06388393455998663,0.0792232593399814,0.00027568185792559776
0,trf_6_732a_t2,0.8861410471989316,0.3185181958153513,0.13884693164595804,0.002114226964921571,0.8861410471989316,0.3185181958153513,0.13884693164595804,0.002114226964921571
0,trf_6_730a_t2,0.31591561444703237,0.10054603566364603,0.07976943076558463,0.0007877790850043532,0.31591561444703237,0.10054603566364603,0.07976943076558463,0.0007877790850043532
0,trf_6_729a_t2,1.0499509468410209,0.4147717803055977,0.08194483867221096,0.0064438870765865484,1.0499509468410209,0.4147717803055977,0.08194483867221096,0.0064438870765865484
0,trf_16_299a_t2,1.4921117710778335,0.556565182543832,0.18547177243184246,0.004654621831469659,1.4921117710778335,0.556565182543832,0.18547177243184246,0.004654621831469659
0,trf_11_130a_t2,0.3972733787166226,0.13520494343459336,0.07919981687851026,0.0009742994399167551,0.3972733787166226,0.13520494343459336,0.07919981687851026,0.0009742994399167551
0,trf_6_1151a_t2,0.6844130921696633,0.23249852951149047,0.13925077479426556,0.0015917383292899812,0.6844130921696633,0.23249852951149047,0.13925077479426556,0.0015917383292899812
0,trf_16_538a_t2,0.5197963833420454,0.16240044415729749,0.13913749210141488,0.001551645710477866,0.5197963833420454,0.16240044415729749,0.13913749210141488,0.001551645710477866
0,trf_6_723a_t2,0.6202390972384894,0.2307088880613144,0.07956840184956822,0.0020789556910942794,0.6202390972384894,0.2307088880613144,0.07956840184956822,0.0020789556910942794
0,trf_6_722a_t2,0.20575660251013853,0.05384395928469444,0.07914707263144274,0.00022245180909041552,0.20575660251013853,0.05384395928469444,0.07914707263144274,0.00022245180909041552
0,trf_6_737a_t2,0.5855703570809903,0.21570051808186175,0.080310977053064,0.0020898377829472138,0.5855703570809903,0.21570051808186175,0.080310977053064,0.0020898377829472138
0,trf_6_728a_t2,1.0778939067862885,0.4001381826730343,0.13931914597183234,0.0032127615282873307,1.0778939067862885,0.4001381826730343,0.13931914597183234,0.0032127615282873307
0,trf_6_3819a_t2,1.3551019925593109,0.5181065096443142,0.13919478453653553,0.005449469405149191,1.3551019925593109,0.5181065096443142,0.13919478453653553,0.005449469405149191
0,trf_6_124a_t2,1.7474119617399844,0.6650148852222986,0.18523863042295266,0.006722869930300701,1.7474119617399844,0.6650148852222986,0.18523863042295266,0.006722869930300701
0,trf_16_6318a_t2,1.2502166937349022,0.45394268378426356,0.1833308293792216,0.0032898623733792543,1.2502166937349022,0.45394268378426356,0.1833308293792216,0.0032898623733792543
0,trf_6_2090a_t2,0.7130492261071597,0.2705123518351424,0.07975525493147947,0.0027571449679518025,0.7130492261071597,0.2705123518351424,0.07975525493147947,0.0027571449679518025
0,trf_16_2658a_t2,0.21846323948291935,0.059262214200008025,0.0789277089484128,0.0002519748185028767,0.21846323948291935,0.059262214200008025,0.0789277089484128,0.0002519748185028767
0,trf_6_1177a_t2,2.547358223093355,0.9735318185597549,0.26939941252934513,0.008906556878928282,2.547358223093355,0.9735318185597549,0.26939941252934513,0.008906556878928282
0,trf_16_3364a_t2,0.3408219997357836,0.11130491976368234,0.07904261844370644,0.0006165373122053312,0.3408219997357836,0.11130491976368234,0.07904261844370644,0.0006165373122053312
0,trf_6_3509a_t2,0.9280473147335633,0.3899636388372017,0.03386510247628564,0.014350506560014367,0.9280473147335633,0.3899636388372017,0.03386510247628564,0.014350506560014367
0,trf_11_3987a_t2,0.385299098780003,0.1521714216820593,0.03012772643193957,0.002441951794419616,0.385299098780003,0.1521714216820593,0.03012772643193957,0.002441951794419616
0,trf_16_3997a_t2,0.6047954608770068,0.1983412756393128,0.13870019055382773,0.0014280563968975643,0.6047954608770068,0.1983412756393128,0.13870019055382773,0.0014280563968975643
0,trf_6_3817a_t2,0.12040406231683178,0.03863270526199154,0.029725454068083742,0.00023084018078499465,0.12040406231683178,0.03863270526199154,0.029725454068083742,0.00023084018078499465
0,trf_16_1142a_t2,1.1969638103030122,0.432699377309115,0.1848769663785926,0.0025683474170914164,1.1969638103030122,0.432699377309115,0.1848769663785926,0.0025683474170914164
0,trf_6_724a_t2,0.5852903066665331,0.1900200812835545,0.1386244285875968,0.00091721970539475,0.5852903066665331,0.1900200812835545,0.1386244285875968,0.00091721970539475
0,trf_6_5085a_t2,1.015357072532247,0.3740337586525946,0.1401410413861066,0.004044056324606451,1.015357072532247,0.3740337586525946,0.1401410413861066,0.004044056324606451
0,trf_6_5595a_t2,0.6835355397130074,0.2319118330402951,0.13818867370868781,0.0016497585126143692,0.6835355397130074,0.2319118330402951,0.13818867370868781,0.0016497585126143692
0,trf_6_5711a_t2,0.52069884939027,0.16250928936323913,0.13859157395454125,0.0007245043590812443,0.52069884939027,0.16250928936323913,0.13859157395454125,0.0007245043590812443
0,trf_6_5712a_t2,1.1568568905933592,0.4340953616447996,0.1391325885132124,0.0036262525622837677,1.1568568905933592,0.4340953616447996,0.1391325885132124,0.0036262525622837677
0,trf_6_5659a_t2,0.3133124245998112,0.07430451750716727,0.13854304138146747,0.00026569937975257573,0.3133124245998112,0.07430451750716727,0.13854304138146747,0.00026569937975257573
0,trf_6_6158a_t2,2.239891483726794,0.876147070903952,0.1842049058606117,0.00920626198177189,2.239891483726794,0.876147070903952,0.1842049058606117,0.00920626198177189
