meterName,totalEnergyKWh,totalReactiveEnergyKvarh,totalLossesKWh,totalReactiveLossesKvarh,lossesPct
busa4-_202312598_segmmt_24122,13522.468448279777,2952.585556420826,484.14013316018344,-2487.466720536878,3.580264468812808
trf_11_130a_t2,13.084230370086148,4.741992424953216,1.9033631682656,0.0577679046097315,14.547001347646464
trf_11_3987a_t2,13.21002344559546,5.3607418809329515,0.7429041089215586,0.15090287608247396,5.623790994627346
trf_16_1142a_t2,40.206524652497436,15.313146423148332,4.449632768577248,0.14785265011040907,11.066942012609038
trf_16_1143a_t2,7.109127774176063,2.725031726565308,4.2868601448897365,1.748229387778939,60.300789085009484
trf_16_1585a_t2,5.150675245104971,1.3801391242584382,1.8826876032369575,0.005081683468943575,36.55224827125726
trf_16_2658a_t2,6.793983974048076,2.078045462946283,1.8809111975660477,0.011772511986780138,27.68495193322247
trf_16_299a_t2,50.47891020979307,19.55484349834739,4.536097994669514,0.284401072509522,8.986125048693099
trf_16_3130a_t2,48.32017596427066,19.152599939225002,3.544826676029959,0.44031280831042907,7.336121206700709
trf_16_3364a_t2,11.103118847980546,3.906991927060934,1.8880276642660219,0.033073847547927374,17.004480363726085
trf_16_3997a_t2,19.72186730840319,6.965020796873852,3.325415673793493,0.08273821771528586,16.861566005854748
trf_16_538a_t2,16.73476466603072,5.713184936405243,3.344198619454514,0.09168959773847615,19.98354136549514
trf_16_6312a_t2,11.965715740585253,3.674534750658214,3.3206762260374236,0.041604384499459704,27.751588772699748
trf_16_6318a_t2,41.930968503725744,15.938628108480126,4.407297149669373,0.19443314515883192,10.510840333386923
trf_6_1048a_t2,7.439389141633512,2.3540521377412027,1.882981640861551,0.014281636155645634,25.31097116998094
trf_6_1151a_t2,22.541789403102253,8.18302483550529,3.341218889373658,0.09304377705791206,14.822332112258273
trf_6_1177a_t2,61.96031404279095,23.649969677105705,6.451333148172165,0.22507357932668887,10.412040751950924
trf_6_124a_t2,19.660989913587926,6.464187557172006,4.782011542435807,0.502683447831556,24.322333531796925
trf_6_1350a_t2,-45.33080048515114,-20.636107641582676,4.7512580894797285,0.7715750939603242,
trf_6_1504a_t2,13.222358092527717,4.218647211105811,3.3271678653059205,0.05205679234452739,25.163195868868396
trf_6_1541a_t2,-31.001867747247843,-12.928777052837809,2.7176488674245323,1.5247012649718816,
trf_6_2090a_t2,24.196176798338133,9.515402676688284,1.9278735795525177,0.16548053944070582,7.967678512271947
trf_6_3509a_t2,32.27661359879761,13.90227558269613,0.9903287607012172,0.9197418315981346,3.0682548454776852
trf_6_3817a_t2,3.9060421078379997,1.358987749112596,0.710727572875008,0.012172577578528757,18.195594242285235
trf_6_3819a_t2,46.097074426552716,18.203807466026777,3.379737214513841,0.33441210124193077,7.331782453784212
trf_6_4910a_t2,303.99198972031644,134.7947913645595,7.781584902371432,14.013537326974838,2.559799325479191
trf_6_5085a_t2,34.18184008678477,13.169127130698048,3.404331177921029,0.24703638857582305,9.959473127478578
trf_6_5595a_t2,-32.685837810605214,-14.840021460749618,3.567730764307323,0.70311630212358,
trf_6_5659a_t2,9.453500256904656,2.6057836972956188,3.2974969569680965,0.0112315079912439,34.88122777126566
trf_6_5711a_t2,16.750639711129672,5.698616037618459,3.301036378104433,0.03736690718466039,19.706927228045604
trf_6_5712a_t2,7.2089212635837985,1.7035970580614257,3.3874895238639127,0.2562571205320848,46.99024167424291
trf_6_6153a_t2,105.36114677299484,43.97806115993047,4.4129830965497545,1.9986084226127545,4.188434951318173
trf_6_6158a_t2,76.71534515396021,30.792411036387794,4.485823235453145,0.5661629653468707,5.847361080694527
trf_6_6197a_t2,115.7139375135061,46.61736258263803,6.523851425554752,0.769558419224634,5.637913258973916
trf_6_6249a_t2,-45.43862980447769,-19.23425857517416,4.188956017909504,2.0574086681562385,
trf_6_6273a_t2,-82.39223705221873,-33.21037316696916,4.419208837106942,3.8989733322927025,
trf_6_722a_t2,6.340223115634922,1.88748567357335,1.8825961509304316,0.010141199207529187,29.69290065341659
trf_6_723a_t2,20.925222812429986,8.106157118907468,1.9143922708085752,0.12296302841152532,9.148730639424253
trf_6_724a_t2,19.024628526091593,6.665009288405823,3.303706804238895,0.048732407880228035,17.36542082652484
trf_6_727a_t2,46.43881965775007,18.38733732962486,3.40152061160874,0.32005389353828934,7.3247352897374265
trf_6_728a_t2,36.35725856302994,14.053573990408143,3.3537480895203373,0.19240886385322764,9.22442511364323
trf_6_729a_t2,36.045267023331604,14.602534560001967,2.0744177859045645,0.4012554560089295,5.755035146672162
trf_6_730a_t2,8.075967944070522,2.619648064983991,1.896406579287863,0.01950086961021565,23.48209641768364
trf_6_731a_t2,7.1755805300199995,2.2422881643860095,1.8870615664857082,0.01314368466844655,26.29838183253514
trf_6_732a_t2,29.627937808315,11.197170761585726,3.319611206033518,0.12141562696509532,11.204327575920178
trf_6_737a_t2,19.729080543314232,7.588543619632978,1.9607943151820715,0.12761452395388556,9.93859957577467
trf_6_808a_t2,20.792679261444057,8.056392310107015,1.9101684998334587,0.1210518948145352,9.186735753556741
trf_6_810a_t2,33.95646471667665,13.01766979826156,3.3745757012115987,0.17464556473301232,9.937947690868661
