hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,438.8249019292312,-551.353213511979,52.687961018515395,-97.78721108982826
1,423.87576097607564,-558.2840158975395,52.71259237248226,-97.91894415156517
2,414.0610730760395,-562.9081140493405,52.745471070714,-98.0257172513566
3,410.820937755203,-564.6356923046603,52.797153186245566,-98.1178934314464
4,410.72925955755875,-564.6459200952704,52.79205606673406,-98.10803556751887
5,589.9804437051874,-480.1209171362121,52.6487574968854,-95.6531021421129
6,736.4609502702989,-407.71302459642914,53.651440856950515,-90.2858911243096
7,989.8324638617565,-293.45548373868917,56.58869160211223,-86.47543789246353
8,1135.8304028722107,-232.64092049031376,60.129426651011656,-85.61755468685793
9,1080.0600618464034,-259.65925732786536,61.26153126808053,-85.53269608579494
10,942.2013772428619,-320.96984391944693,62.84196998640884,-83.6893417128161
11,970.1626460419608,-307.5207616605041,64.57926456837468,-81.37132428215612
12,872.2892334094886,-350.88347452352133,63.68763893887328,-82.19300646192703
13,919.3361579717445,-329.7210024056689,64.50183128419977,-81.22522678286795
14,774.7525879615758,-394.8095379712795,62.65476378935735,-83.56697256703644
15,708.3896752392027,-425.0709366678402,61.38978794102254,-85.30874247401039
16,728.465197955674,-417.2260966565796,58.34145281714489,-89.0124653322904
17,850.312971073065,-359.9528258383062,55.90147243392262,-89.69430414620395
18,923.5553721319689,-321.98520626368924,55.43568401191491,-87.06878393624825
19,780.0223242647496,-389.9157873787699,53.720470444338055,-91.33184294587632
20,610.1443353689122,-470.5266477403696,52.700312854288526,-95.24762599467593
21,517.6852376652886,-514.3805096057215,52.59256612315707,-96.8566105776159
22,511.7474639965727,-517.5476884948431,52.647531356024956,-97.07872948482637
23,491.8638424446182,-526.819281326991,52.65060912230903,-97.30717119103336
