hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,341.1384012335325,23.015142994549706,20.860292520061417,-110.23573122277432
1,328.64683081942775,17.62316510415938,20.76831024872268,-110.39806460328985
2,320.4488614675712,14.070155421012403,20.706398934732118,-110.5218242228472
3,317.7505169666371,12.863952075523951,20.677827420252054,-110.61093901839247
4,317.6738762257022,12.837377978961285,20.679311852208848,-110.60303938604304
5,467.4665778470072,77.87419322993662,22.106245177333808,-107.99406094992663
6,581.363386643558,128.80000425707095,24.236439881700548,-103.6127221191988
7,783.7319234066406,215.1930678985241,27.44568577936012,-100.07995124741649
8,897.1972015322317,261.9532514002841,29.8908872801749,-99.0911055182494
9,832.8477314472458,234.92791991484782,29.920857740173492,-99.11197987742365
10,691.7537693006192,177.88461557486576,30.333120171503847,-97.4050601347148
11,707.865951923234,185.99863687369105,31.753670001819206,-95.33760691724773
12,621.0817639967958,149.9501982036951,30.872440090683604,-95.90409393417379
13,660.4260116477369,166.71579500347647,31.606394184058956,-95.09824257270341
14,538.4146572834304,114.99869121049609,29.772877914166767,-97.05989849314128
15,485.4140085852624,91.891741795673,28.59238192076689,-98.6185480524549
16,519.280376454085,103.32127832939798,26.42858705079953,-102.0605983118321
17,648.3853770234861,156.6073877737751,25.701624721358314,-102.87775589568034
18,737.8565258547205,196.19300164155055,26.592661813849563,-100.58953360854144
19,626.4476628625462,147.42388794864473,24.439738733207136,-104.04364516720717
20,484.32674421106714,85.2461255114217,22.317583817618342,-107.610861361598
21,407.03410808418386,51.558498217369426,21.435881373638736,-109.19926687728109
22,402.0763914258928,49.31572574477483,21.363974895547862,-109.39826474512454
23,385.45953202943144,42.13033941700384,21.212578591892836,-109.65327270093786
