hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,477.0222853065615,-1201.1020894567303,151.50678683976003,-56.77525311337213
1,464.6341174897551,-1207.26120416975,151.7169982798846,-56.772650087659194
2,456.5081419889371,-1211.4001271576053,151.89083195786282,-56.77720608477645
3,453.8456593635063,-1213.029401837663,152.04401726067093,-56.79636993009053
4,453.7664853737254,-1213.0254164686983,152.03123211073245,-56.7924065850396
5,602.2117935791658,-1137.4419322692775,149.21160758088905,-56.34799613710052
6,715.672904180551,-1076.2039315474383,147.25734021372645,-53.853515929658286
7,917.4853450581561,-979.6662727173685,146.98178739162103,-52.52689592990224
8,1031.3379061243566,-930.8194212778219,149.31989155002543,-52.21285603811512
9,969.3397794693917,-963.2603399364383,151.98415985690713,-51.13216209711173
10,831.7294275990002,-1029.4792581574663,156.3681153055263,-47.61043664517442
11,848.3529994048795,-1020.8747891450035,157.70784046417268,-45.72522164366556
12,762.6140754084839,-1061.2977356306606,158.49003298625428,-45.348507255067375
13,801.6841533275576,-1042.6389423275662,158.5290713089998,-44.97621981466918
14,680.4020993817153,-1100.7927364593947,159.10121221218046,-45.504516465424764
15,627.7440656611195,-1126.2684646041437,158.7686066505201,-46.49664570593663
16,659.9146938004278,-1111.0994502107333,154.88908798682277,-50.49651754680922
17,785.2372072661591,-1047.2274672636968,149.34203324327453,-53.340076081808704
18,870.9267102340897,-1000.4425431008278,146.41010023264644,-52.69574763503027
19,759.70378694821,-1056.9829428538203,147.12683282120682,-54.65971212888201
20,618.9170651090506,-1128.8666132161884,148.93465817788487,-56.20937777982055
21,542.3408096623675,-1168.0982931334438,150.2986122722088,-56.66563517691245
22,537.4529352602724,-1171.0570491935275,150.53624351287908,-56.74235783134614
23,520.9794092305782,-1179.31633996522,150.811157676094,-56.77063376497752
