energia_dia_kwh;perdas_dia_kwh;compensacao_mensal_usd
12031.124941697244;457.3877867604073;217448.21839942367
13522.46834857209;484.1401333069082;244509.3154347972
15013.158497806166;514.5966612219868;271423.99712894956
