bus;reduction
50101;0.6504935463893631
74721;0.650468383641087
822371;0.6489288326155815
824351;0.6487051776347528
7761;0.6467304333438904
37521;0.6465131738131369
44661;0.6450189672460027
72811;0.6449458456796187
824681;0.6447186695814082
44651;0.6426858817540584
18551;0.641183430031532
36971;0.6396014680459778
37501;0.6395749433823958
320781;0.6381022673741263
37761;0.6348964658225995
37741;0.6336889522082565
37691;0.6336360820527709
320841;0.633613258456883
30451;0.6310632270995065
583991;0.630479527686699
63341;0.6295260728772689
30851;0.6289370433849655
30841;0.6277707462258988
18501;0.6236347465697563
319101;0.6216777861362139
30721;0.6198884970995628
801081;0.6189013918214812
50111;0.6168838422682548
801071;0.6168130727205359
800961;0.6160338665720744
824671;0.6160128526437383
50151;0.6156826884409057
7791;0.615049351179394
48291;0.614041398664142
37531;0.6139405228982753
800951;0.6138958789394167
37361;0.6133781716611146
800871;0.6126903952387366
337711;0.6117639408743472
44001;0.6107489884269022
800851;0.610111298534445
820481;0.6097598723161148
44701;0.6092938681725464
820461;0.6091344927369562
30861;0.6068539877634471
818741;0.6027999698735123
818731;0.6009079486048066
48281;0.600096037016769
818661;0.5985478339169426
822641;0.5979675341054076
61191;0.5969962958002775
818631;0.596551708254804
801091;0.5959239211570164
799921;0.5934298130687736
820561;0.5932963450178406
820542;0.5929726515447378
800971;0.5925911864563105
801541;0.5920140189649636
800411;0.5919790524196245
675481;0.5918345474868758
319091;0.5907487205386879
30611;0.5906725588605397
801531;0.5898999240848717
461491;0.5891233706730965
37391;0.588614367650397
800861;0.5878367799350563
61201;0.5857590619357289
818751;0.5851257476035912
799901;0.5837133656052416
6cf2001;0.5820419771561696
818671;0.5808393935438403
rt762101;0.5792358333233523
43991;0.5788825300559104
820471;0.5781583539579565
61461;0.5746520863583875
48301;0.5737676274261183
822501;0.5728013590928036
818221;0.5721996257282669
536681;0.571428531002617
818211;0.5699598748584229
48391;0.5699482937794791
7861;0.5673432842413568
822491;0.5672877111979595
60641;0.5660636622017456
818121;0.5656097031289598
30871;0.5649578576613798
6rl1818;0.5644730545221108
6cf1964;0.5643653603559251
800401;0.5638786068829198
818111;0.5634434034470743
675501;0.5633262809936426
820551;0.5614697955284775
6cs126;0.5605585932548252
758801;0.5590670744106205
45681;0.5588227557074497
818851;0.556750431408453
818231;0.5543711163481184
818001;0.5542829700520286
43871;0.5536271830894179
822931;0.5532765853717336
48821;0.552955759876145
818761;0.5515382599728724
302191;0.551144341235215
49501;0.5499034009585984
6cf1828;0.549419623049495
818131;0.5481032971458255
37401;0.5437043289273014
4281;0.5419651768156442
822511;0.5411054550053116
74921;0.5366097335429991
369271;0.5363445170402983
73931;0.5339545112972743
442101;0.5333319606427018
817671;0.5303470658046479
134341;0.5289596958136045
818351;0.5289187032985225
21821;0.5280502141852814
800521;0.5237206189416774
134331;0.5233343576072826
44301;0.5232173140093082
641761;0.5230594023887818
817561;0.5221049382969838
164131;0.5212195889487212
818241;0.5209270866694595
817551;0.51994469087834
60631;0.5188837424701376
800421;0.5173829276608721
818141;0.5147391787108972
48321;0.5139482197519527
817681;0.5127836871965776
75871;0.5119949494175877
675491;0.5116145102153133
817381;0.5105763502919771
820731;0.5098219321653445
48401;0.5097327250042092
42451;0.5090667271394835
817371;0.5084451165747303
818861;0.5069910216862787
50041;0.5064711577801226
7851;0.5055338726612391
822571;0.5053357572890889
817571;0.5045557259630762
30881;0.5036006754149085
63821;0.5027363454699874
60261;0.5026148325543538
818771;0.5019078528491541
60271;0.5001212005001783
10571;0.4968912696609742
822521;0.4966937760303942
44721;0.4938319943520284
818611;0.4937115274786805
817391;0.49295175878716435
801101;0.4904770945475221
43861;0.4902866305453806
62261;0.4875063998210365
815661;0.4855019521713544
815641;0.4847327223640612
800991;0.4847007838381998
1261;0.48431383915136905
815651;0.4838538515281634
62291;0.4831741892152799
815631;0.48262512629440124
1911;0.4819342131417095
21841;0.48166078275044555
62301;0.48092497783565946
21831;0.48047561612034784
817691;0.47905627756754754
818361;0.4790424915476592
23031;0.4777793573212925
69161;0.4742166138449022
62251;0.47394821257156394
23041;0.4716329501134986
818251;0.47143420417059545
817581;0.4709664369340345
63811;0.470911657424427
71731;0.46835194796446444
815671;0.4679987680564608
758501;0.4656181204669032
818151;0.4652748126757267
66411;0.45925805772794703
817401;0.4591455119899024
63671;0.45894187298268463
134381;0.45804936477591696
61371;0.4578609383092562
69271;0.4577464148609387
66421;0.4561461781384182
66381;0.45284775875954963
815762;0.45214616996230106
164151;0.45194785331668186
164141;0.4518733713077978
800431;0.44999046327078673
66391;0.44858620791005066
69211;0.44744284380290367
30661;0.4453900033376783
822581;0.44494329173299363
65601;0.44232109988502444
30921;0.4419346482376234
820571;0.441741015539062
1871;0.4372609340551108
822531;0.4358458316589022
818991;0.43452640835037215
817701;0.4295015565846789
61481;0.42948638877835776
26321;0.4283369583582832
66561;0.4260021416180422
68321;0.4238780092138654
814581;0.42211884057836
817591;0.42141142517687413
66481;0.42079151130153036
66491;0.4183847941786851
815441;0.4178580845300104
71871;0.4167209790140589
536731;0.416289540885046
553951;0.41271271484499295
10831;0.4122033975433119
64731;0.4120158632930533
817411;0.4092974359538353
814601;0.4064386402378126
4271;0.4061936829088708
69221;0.40226101414786797
132151;0.40100111705804053
134511;0.3977086273015331
61361;0.3962457353373239
417951;0.3892084242012537
553961;0.3852932988698363
815701;0.3852192274664361
51431;0.38204213599956205
133721;0.3807301213696235
132191;0.3793511758417125
10521;0.3778974528372032
10531;0.37778769221449693
132201;0.3757821587444212
132161;0.3756672713860034
28751;0.37457045762235097
48541;0.37247339772352106
48531;0.3712668971408206
28761;0.3705408919316966
814591;0.3701902080540833
65661;0.36980963969474345
28771;0.3689627537459437
30761;0.36886324373702095
815451;0.36837122891055785
28801;0.3668763827746204
6cf130;0.36601024495823964
6cf133;0.3655662839899918
28811;0.36281691643873515
1901;0.36026107856477196
806231;0.36010613114767054
349351;0.35412913654417366
68231;0.3536240923293583
48551;0.34714311645365825
51421;0.3451729051955965
61011;0.3432370556848312
28791;0.337942380502394
26721;0.33128408190687963
71121;0.33079060371786895
74911;0.3300410978974462
16cs245;0.33001056931843564
755661;0.3266097310946634
73941;0.3264925929483766
599061;0.32263381686211545
37821;0.32222654237202164
151411;0.32109147041445496
331941;0.31775192529245544
16cf691;0.3168358205717787
48581;0.3165751900109406
820741;0.31642465859262003
133741;0.3133122695493604
326221;0.31318589003887354
72911;0.3097771107704297
mrt_21881trf_11_4955a;0.30809683714452163
10551;0.30786640177020885
18001;0.306711484061875
643161;0.3054193122571647
18021;0.3047326335307545
818871;0.3032842552436641
71751;0.3030970341968455
51361;0.3027130636706836
37791;0.30059641576850993
37811;0.2997808990177866
818781;0.298182876329502
751701;0.2972306210215976
30731;0.2938930686299237
580991;0.2925335758121044
48561;0.2921253292884245
643171;0.29183093917650993
580981;0.29139232526279457
326241;0.29101702345989366
28781;0.2890081921763752
37621;0.2868907475110092
3231;0.2848597011342484
266141;0.28395012249115226
337691;0.28208154766020854
10851;0.2818835991188031
51381;0.28139038280594164
21851;0.280995532206088
48331;0.27783478207398815
818371;0.27546875069659293
48411;0.27073009347712684
48421;0.2699191103332552
mrt_10571trf_6_128a;0.2686677188793922
818261;0.2677740263281976
mrt_349351trf_6_2417a;0.26333566094482563
57521;0.2632121550185538
1951;0.26309923527738377
818161;0.26163596766677344
mrt_68231trf_6_1344a;0.26157704848265695
31721;0.2601532299803928
581001;0.2600630821063703
308581;0.2574219994780229
29551;0.2568840733383979
61061;0.25554672524058475
mrt_48681trf_11_2597a;0.25384980348513153
50051;0.25366041683569307
7311;0.24621055995422125
319081;0.24374671282877713
801111;0.2429102020368532
331891;0.240817883881423
mrt_36971trf_16_1095a;0.23963719333955424
807741;0.2366716241945852
73981;0.23442135186078872
26331;0.23320724792228376
801001;0.2327928214246171
731541;0.22903298962419427
44801;0.22758728547820795
6cf1610;0.22658135517183098
817711;0.22559912957872896
44071;0.22464614651844172
mrt_18501trf_16_300a;0.2228033486697214
817601;0.2175285948365442
mrt_610971trf_6_3142a;0.21726354795170622
7451;0.2098067641686363
818881;0.20875528057574755
mrt_48581trf_6_1019a;0.2086177983262445
mrt_10791trf_6_1260a;0.207100723432859
817421;0.2052406311266317
mrt_599061trf_6_3509a;0.20424181316199252
