hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,376.0334358420009,-580.414303049079,52.82840727869148,-98.28293798746178
1,363.5654422878037,-586.1912245309417,52.87132629404867,-98.36841321549088
2,355.37687930456707,-590.0431992227216,52.91361621156249,-98.43795402439987
3,352.66524765968416,-591.4768911384307,52.962962621797075,-98.49858978957067
4,352.590311154114,-591.4863307795127,52.9584761686505,-98.49198848799792
5,502.1772005486871,-521.0783600595274,52.50704769857757,-96.86984870436528
6,616.4364272098244,-464.78669910719026,52.85995859744865,-93.31573490196214
7,818.7767700354373,-373.4296333681108,54.4958408114869,-90.84856276362126
8,932.2384147326878,-325.89749922010225,56.83746443412413,-90.25933555746892
9,868.7888899343413,-355.73507699956116,58.00695920350092,-89.82331548995063
10,729.0762861157921,-417.4390932705799,60.136977678102404,-87.34636001129381
11,745.4354097395903,-409.11463803292384,61.50011485543442,-85.39274624353921
12,659.076700795629,-447.3089223940823,61.35790915654211,-85.52245836229727
13,698.3147400797859,-429.62615122998164,61.777517159734586,-84.92513941710166
14,576.6451614595925,-484.44326464181086,61.00424387672146,-86.22736040078908
15,523.6914888251034,-508.72913726139024,60.229567269060254,-87.48946556678904
16,556.875267618662,-495.3404660746365,57.36652529073525,-91.10674443034203
17,684.6223051717268,-436.5667356106546,54.56251419174899,-92.76172467849521
18,772.5488645637963,-393.2592404494691,53.77688931747691,-91.17659900607602
19,660.8833694182382,-445.98531997001623,52.88492547911937,-93.95217715192602
20,519.0145081641232,-513.0921521632549,52.502724428024166,-96.5975454815401
21,441.8287795548279,-549.6086762714709,52.613009496357414,-97.67171079947491
22,436.8551515528071,-552.2345629113337,52.67420378213467,-97.82029377711294
23,420.26765864661513,-559.961700419807,52.71241084449189,-97.97051259993779
