hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,373.0296955836196,36.94272777854397,21.131773667382422,-109.8073764099524
1,359.27814889139796,30.99754961182013,21.01829203108238,-109.99944795982364
2,350.24459164654735,27.069929767338774,20.94190147758189,-110.1465124128834
3,347.247665550755,25.709384809945334,20.906711350781684,-110.25390757785091
4,347.1661814911736,25.683797423515443,20.908514039642334,-110.24427850694539
5,512.1856206204766,97.56135521006495,22.663468760191524,-107.13643822718595
6,642.796824921335,156.35696492373168,25.334155267118554,-101.77111863386364
7,870.7674063037903,253.60031773043428,29.347461913764246,-97.48032676859857
8,1000.1259756576615,306.46636090342656,32.38069585893722,-96.33374129840583
9,939.361481831722,280.6295483706471,32.32699897023187,-96.57284440105033
10,798.9250734196086,223.58918049409652,32.35559608178971,-95.27810977740619
11,820.8116738531365,234.0935426951087,33.959319383050776,-93.04613333705598
12,728.2413120780944,195.57409881004423,32.66249255485981,-93.99120611692874
13,771.4928915803363,213.98586620071086,33.60882507544238,-92.99212849503708
14,637.9630132303504,157.38262862023626,31.179257639721015,-95.5058517787619
15,578.2642240133551,131.46198841546038,29.733591629722955,-97.31015026907471
16,605.8071280211217,140.42142826313886,27.536299204541095,-100.73786774549914
17,732.4603498263181,193.27753600583569,27.131022855104067,-100.9799036134497
18,814.8983801358696,230.5134294391522,28.238077231620174,-98.14751680282795
19,687.2322793050872,174.4244464867578,25.519533327298387,-102.40804317700818
20,530.7564324266184,105.7138843925936,22.922546133635482,-106.67805856071426
21,445.6093362464258,68.46467496244071,21.84037501772546,-108.57524276624702
22,440.1136602178782,65.9412929244814,21.752056384924643,-108.81518019888212
23,421.81689002351237,58.01289631107058,21.565843722235282,-109.1180714495627
