meterName,totalEnergyKWh,totalReactiveEnergyKvarh,totalLossesKWh,totalReactiveLossesKvarh,lossesPct
busa4-_202312598_segmmt_24122,15013.158497806166,3593.5180948161096,514.5966612219868,-2453.1250634221287,3.427637570716272
trf_11_130a_t2,14.077301339092646,5.15846493465604,1.9029558521046375,0.06796879058804078,13.51790237536602
trf_11_3987a_t2,14.32088610545552,5.8377609059214395,0.7486217420862319,0.17835334382025797,5.227481990803946
trf_16_1142a_t2,43.44293412821505,16.70202039312202,4.453506008269885,0.173476802845238,10.251393230314639
trf_16_1143a_t2,14.59884132004403,5.933956339614939,4.33225509925193,1.853271575264757,29.675335215157087
trf_16_1585a_t2,5.437739153442675,1.5016523682083571,1.877914099354598,0.006065110187814717,34.534832333133814
trf_16_2658a_t2,7.2274387031632275,2.2605668997827078,1.8759464521239644,0.013458047863324198,25.955895707602757
trf_16_299a_t2,54.593957281848446,21.28519859775075,4.560013232888535,0.3357377637284954,8.35259699044506
trf_16_3130a_t2,52.3309580140281,20.84904647009723,3.5847114916305243,0.5204980106782061,6.850078094632987
trf_16_3364a_t2,11.92168553204557,4.251272075770406,1.8844724640449164,0.038483625876913355,15.807097570049486
trf_16_3997a_t2,21.18013519482491,7.579555587840341,3.3230383349982335,0.09712271323594236,15.689410404755936
trf_16_538a_t2,17.929333269025776,6.220457865352698,3.3448659823209512,0.10787495199553872,18.65583026502971
trf_16_6312a_t2,12.733355120824983,3.9995227094049293,3.3168585517828912,0.048642894156283284,26.048582799346246
trf_16_6318a_t2,45.271062862684666,17.343623322495418,4.407260372431742,0.22873027178937658,9.73527037745891
trf_6_1048a_t2,7.932301420392957,2.5620793073528176,1.8787260342023446,0.016384616461418863,23.684501314742963
trf_6_1151a_t2,24.262016149253892,8.91307127627867,3.341402953982779,0.10933315244227823,13.772156993991343
trf_6_1177a_t2,66.9445988499543,25.7649893978036,6.452659331832699,0.2645021791353459,9.638804986038249
trf_6_124a_t2,24.54355713023041,8.496407383040934,4.790523997547824,0.547138831958704,19.518458437498914
trf_6_1350a_t2,-43.431450722083426,-19.846323489277555,4.73727166696948,0.766209502363634,
trf_6_1504a_t2,14.105151538922142,4.594549483832728,3.3242319851762865,0.06096471040440436,23.567502809192156
trf_6_1541a_t2,-28.998462414714574,-12.110512896447638,2.7052598977354396,1.5150110913080077,
trf_6_2090a_t2,26.186938947564755,10.362363711698082,1.9324517719983134,0.19500212359113103,7.379448876662314
trf_6_3509a_t2,35.087239917112086,15.180147218042693,1.0432678567327045,1.0910768027484319,2.9733540147280197
trf_6_3817a_t2,4.191386542157284,1.4798146025225358,0.7097835330008395,0.014135814812620849,16.934337261948592
trf_6_3819a_t2,49.89482187275206,19.80794437493193,3.3890065182029674,0.39493226212876426,6.7923010665235575
trf_6_4910a_t2,330.4122576054552,147.2484977743161,8.630100202034622,16.641957439811726,2.611918899310271
trf_6_5085a_t2,36.940610975255254,14.344184405282219,3.4171218816683435,0.2916421994211489,9.250312302515272
trf_6_5595a_t2,-30.98402862922552,-14.13566547478423,3.5581777154472176,0.7036866472691602,
trf_6_5659a_t2,9.997069426692079,2.8359057085542916,3.2898474884118785,0.012657593684124929,32.90811884959024
trf_6_5711a_t2,17.947205331156553,6.20228597103827,3.2947459023439203,0.04327792953296963,18.35798856451597
trf_6_5712a_t2,10.405822352680673,3.0437333757177742,3.3835941335566613,0.27455417018610445,32.516354968187635
trf_6_6153a_t2,114.48533103702631,47.9463808587528,4.617867156257265,2.3702701726153514,4.033588508176455
trf_6_6158a_t2,83.13978680565691,33.5082071211117,4.502022411984351,0.6688095882091246,5.4150035560086724
trf_6_6197a_t2,125.47252771328034,50.765790483412935,6.543200223367757,0.9094428347522128,5.2148469012433925
trf_6_6249a_t2,-41.019988630641755,-17.403729011871736,4.176194004575584,2.049236219487881,
trf_6_6273a_t2,-78.21888712543335,-31.5003233260098,4.401086526097219,3.8689892955621157,
trf_6_722a_t2,6.73477641628319,2.054178017170968,1.8782364751602016,0.011555671272614,27.888624047251874
trf_6_723a_t2,22.62334309924565,8.826117490643119,1.916526457855923,0.14467431371905215,8.471455564495361
trf_6_724a_t2,20.424659211054287,7.254458736669265,3.2979696521244795,0.056645467436468706,16.146999653925896
trf_6_727a_t2,50.29036951211202,20.02421155112019,3.4147227798703526,0.3776116033628313,6.79001330274168
trf_6_728a_t2,39.30615230512538,15.300514968396048,3.3579900731651127,0.2266738811686757,8.54316659411927
trf_6_729a_t2,39.09426074555632,15.905655250110838,2.107080856164117,0.4746346484958793,5.389744724623346
trf_6_730a_t2,8.626547465824924,2.8515895716299555,1.894460583247914,0.022949059817459858,21.960820255763284
trf_6_731a_t2,7.645518012302642,2.4408873527929424,1.8832382026390164,0.015069190283321375,24.631924215058273
trf_6_732a_t2,31.978594716341743,12.19265391094398,3.3166148843223073,0.1423999595667072,10.371359072346749
trf_6_737a_t2,21.325070122757797,8.264658721256469,1.9710347461892352,0.15064033426693368,9.242805462504792
trf_6_808a_t2,22.479311327702437,8.772708796105047,1.91122034493546,0.14239660479739288,8.502130323628565
trf_6_810a_t2,36.6919348794124,14.1714672711735,3.382221407747559,0.20549678619797307,9.217887851548818
