line,maxCurrentA,normAmps,maxLoadingPct,meanLoadingPct,overloadHours
rbt_1607347,93.19431632937508,124.95,74.58528717837142,25.74713569351782,0
sbt_7584,93.19432641874256,163.8,56.8951931738355,19.640444839962747,0
sbt_22840,93.1943217982853,163.8,56.895190353043525,19.640444764570198,0
rbt_630758,30.832489912267732,76.65,40.22503576290637,17.811556158834676,0
rbt_637576,24.665719440332936,61.95,39.81552774872144,14.765450918766506,0
rbt_632607,49.00620094050663,124.95,39.22064901201011,18.461770219923938,0
rbt_1130761,30.428192330609697,90.3,33.696779989601,15.859266096708678,0
rbt_606147,25.292424936338048,76.65,32.99729280670326,12.486866346601486,0
rbt_605836,25.829499443095685,90.3,28.604096836207848,13.472165996508416,0
rbt_637360,17.661410605729213,61.95,28.509137378093968,13.394196584373757,0
rbt_637918,17.623867605683305,61.95,28.448535279553354,11.429938871027941,0
rbt_626476,15.259793383046835,61.95,24.632434839462203,11.590566636929557,0
rbt_1607350,21.935760280885038,90.3,24.292093334313442,8.845732035641586,0
rbt_606126,13.52253886488741,61.95,21.828149902965958,7.8487393728430215,0
rbt_3405844,18.941620128437993,90.3,20.97632350879069,7.268761731749596,0
rbt_1633671,12.992212433951696,61.95,20.97209432437723,10.406478445029903,0
rbt_1627323,15.018905194263642,76.65,19.59413593511238,9.21930159667619,0
rbt_606143,14.82494354166273,76.65,19.341087464661094,6.8916638223450235,0
sbt_34378,24.656761049768416,128.1,19.24805702558034,9.445166718859165,0
sbt_34379,24.579793563373332,128.1,19.187973117387457,9.309572220091981,0
rbt_637397,11.714906339165646,61.95,18.91026043448853,8.888059459659562,0
rbt_635862,10.77443456160879,61.95,17.392146185002083,5.997585802979021,0
rbt_3435739,13.11519685718343,76.65,17.110498182887707,8.495358493921676,0
rbt_605816,10.170574018168592,61.95,16.41739147404131,6.288691542546331,0
smt_29422,26.143993509673177,163.8,15.96092399857947,9.778682112002887,0
smt_19119,26.141399596443588,163.8,15.959340412969222,9.77948671486424,0
smt_17184,26.140218596295554,163.8,15.958619411657846,9.77897399832768,0
sbt_24791,25.29244620319516,163.8,15.441053848104492,5.843213738270948,0
sbt_3174,25.292437341610157,163.8,15.441048438101438,5.84321534896752,0
rbt_609688,11.164679013464212,76.65,14.565791276535176,5.384886914336989,0
rbt_1638954,8.57848478673449,61.95,13.84743306978933,6.509386406643917,0
rbt_1607265,12.050358106224666,90.3,13.344804104346252,6.280828393307121,0
rbt_606139,9.29729531119138,76.65,12.129543784985492,4.3991839168993865,0
sbt_9361,25.82949952517589,216.3,11.941516192869111,5.6243022845545925,0
rbt_623004,7.222613790327648,61.95,11.658779322562788,4.638491873789047,0
rbt_606121,6.961822182655631,61.95,11.237808204448152,5.2802066960080705,0
sbt_11363,18.013893286178696,163.8,10.997492848704942,4.169925882614392,0
rbt_1605991,6.657592077761998,61.95,10.7467184467506,5.052746873948926,0
rbt_1607280,6.604935440414496,61.95,10.66171983924858,5.010686780212395,0
sbt_34393,13.28840161941312,128.1,10.37345949993218,6.820008859909314,0
rbt_606114,9.030053307739385,90.3,10.000059034041401,4.700675829470471,0
rbt_627337,8.789999720858685,90.3,9.734218959976396,4.57772244648285,0
rbt_1621994,8.623770601052241,90.3,9.550133555982548,4.4881584240667385,0
rbt_626678,8.425015451977897,90.3,9.330028186022036,4.388031229564609,0
rbt_635543,5.769887812778939,61.95,9.313781780111281,3.7848883531565516,0
rbt_606150,5.734882459852234,61.95,9.257275964248965,4.348998590452946,0
rbt_1607272,8.253816608676987,90.3,9.140439212266873,4.301160710134907,0
smt_34713,26.127125593519782,286.65,9.114643500268544,5.5847555662773445,0
smt_34700,26.12697197895394,286.65,9.114589910676415,5.584717876296029,0
smt_34701,26.126608087828536,286.65,9.11446296453115,5.584628612610917,0
smt_34715,26.126296899853816,286.65,9.114354404274836,5.584552297864092,0
smt_34702,26.125988671503904,286.65,9.11424687650581,5.58447672768352,0
smt_34703,26.12556645377657,286.65,9.114099582688496,5.584373240449755,0
smt_34704,26.12505885999041,286.65,9.113922504793445,5.584248873627441,0
smt_34716,26.124741600606082,286.65,9.113811826480406,5.584171166881981,0
smt_34705,26.12442261216559,286.65,9.113700544973169,5.584093056594266,0
smt_34717,26.124042498377392,286.65,9.113567939430453,5.584000004794949,0
smt_34706,26.123657623223522,286.65,9.11343367284965,5.583905816384924,0
smt_34707,26.12320444792368,286.65,9.11327557925124,5.583794950569152,0
smt_34708,26.12278220641193,286.65,9.113128277136553,5.5836916888473525,0
smt_34709,26.122237282613415,286.65,9.112938176387027,5.583558476258699,0
smt_34718,26.12193370989092,286.65,9.112832272768506,5.583484289924809,0
smt_34710,26.12163683204748,286.65,9.112728704708697,5.583411757182364,0
smt_34719,26.12132632194428,286.65,9.112620380932944,5.583335912363638,0
smt_34711,26.12101680629905,286.65,9.112512404081302,5.583260329351724,0
smt_34720,26.120663893034003,286.65,9.112389287644865,5.583174171687689,0
smt_34712,26.12033830478918,286.65,9.112275703746443,5.58309470667174,0
smt_34721,26.12010467266875,286.65,9.112194199430926,5.583037697765826,0
smt_34714,26.120095066576013,286.65,9.112190848273508,5.583035353962209,0
rbt_623007,5.640051202218745,61.95,9.104198873638007,4.277694320697186,0
sbt_22748,19.521205841800068,216.3,9.02506049089231,4.246959068920725,0
sbt_7427,19.521197691515457,216.3,9.025056722845795,4.246955165389969,0
sbt_34383,11.547855122485503,128.1,9.014719065172134,5.310889326799193,0
sbt_34392,11.547852003754578,128.1,9.014716630565635,5.652224685011464,0
sbt_34384,11.532946981643388,128.1,9.003081172243082,4.349208191344652,0
rbt_1630759,6.825078721017349,76.65,8.904212290955444,4.188703031364869,0
rbt_606122,5.5122006180291905,61.95,8.897821820870364,4.182355787734584,0
rbt_1229546,8.00081611854449,90.3,8.860261482330554,4.167115417719199,0
rbt_1638606,5.458532205772289,61.95,8.811190001246633,4.143330373880448,0
rbt_605905,7.808933199922654,90.3,8.647766555839041,4.0654224584710414,0
rbt_1607283,7.73036815619015,90.3,8.560762077729954,4.027547577671798,0
smt_31417,27.900141722204218,327.6,8.516526777229615,5.242129256039379,0
smt_31416,27.90009367186938,327.6,8.516512109850238,5.242118932621438,0
smt_31411,27.900075359924738,327.6,8.516506520123546,5.242114998738272,0
smt_31412,27.900054638358057,327.6,8.51650019485899,5.2421105470935645,0
smt_31413,27.899931766807352,327.6,8.516462688280631,5.242084151798648,0
smt_31414,27.89983943021325,327.6,8.516434502507098,5.242064317579056,0
smt_31415,27.89960545597185,327.6,8.51636308179849,5.242014064931655,0
smt_4387,27.899220677911387,327.6,8.51624562817808,5.241931441467792,0
smt_4863,27.898776696759068,327.6,8.516110102795809,5.241836133990346,0
smt_4693,27.898404211786225,327.6,8.515996401644147,5.24175619802111,0
smt_17964,27.89817801452101,327.6,8.515927354859892,5.233017862524272,0
smt_4591,27.898063799763808,327.6,8.515892490770392,5.241683163857779,0
smt_6826,27.89771513581376,327.6,8.51578606099321,5.232918006637915,0
smt_4627,27.89770253409127,327.6,8.515782214313573,5.241605675408931,0
smt_4527,27.897413566003152,327.6,8.515694006716467,5.24154370882085,0
smt_7012,27.897180803920136,327.6,8.515622956019577,5.23280277800352,0
smt_23134,27.896943791545375,327.6,8.515550607919833,5.241442997745005,0
smt_22791,27.896701972831483,327.6,8.515476792683602,5.23269955606949,0
smt_18545,27.896522577493148,327.6,8.515422032201815,5.241352726406287,0
smt_7020,27.896142989109062,327.6,8.515306162731703,5.232579100943394,0
smt_10381,27.896076303887014,327.6,8.515285807047318,5.24125711465983,0
smt_18806,27.89585085128585,327.6,8.515216987571993,5.241208824451186,0
smt_24122,27.895777478607712,327.6,8.515194590539595,5.241193110146102,0
smt_6842,27.8957128581091,327.6,8.515174865112666,5.232486445495061,0
smt_6830,27.895060307094994,327.6,8.51497567371642,5.2323459333270295,0
smt_31407,27.894275423523727,327.6,8.514736087766703,5.232177014491792,0
smt_29390,27.893903895735104,327.6,8.514622678795819,5.232187279529453,0
smt_31408,27.893794727026798,327.6,8.514589355014285,5.240583477591189,0
smt_17776,27.89327308943009,327.6,8.51443012497866,5.232050401865819,0
smt_10747,27.892631151544503,327.6,8.514234173243132,5.231911172765486,0
smt_18202,27.892073667405796,327.6,8.51406400103962,5.231790313123371,0
smt_17794,27.89155632746396,327.6,8.513906082864455,5.231678200052284,0
smt_29420,27.891236659123095,327.6,8.513808504005828,5.231608945499187,0
smt_22739,27.891049841071947,327.6,8.513751477738689,5.2315684796792645,0
smt_17795,27.890433837391686,327.6,8.513563442427253,5.23143508863253,0
smt_29389,27.88974658227775,327.6,8.51335365759394,5.231286338707268,0
smt_19163,27.889154363055084,327.6,8.513172882495446,5.231158217713619,0
smt_17961,27.888776902544063,327.6,8.513057662559238,5.2310765863337725,0
smt_29388,27.888341556563514,327.6,8.512924773065784,5.23098246404757,0
smt_17962,27.887806476672324,327.6,8.512761439765667,5.230866819780504,0
rbt_1107340,7.401268591895946,90.3,8.196310732996618,3.857321169062576,0
rbt_1626486,7.400752486268369,90.3,8.195739187451128,3.851479365407125,0
rbt_605822,7.400526321251592,90.3,8.195488727853368,3.857103371455159,0
rbt_1607287,7.393959904656481,90.3,8.188216948678274,3.8517683691275715,0
smt_6447,26.205877580468886,327.6,7.999352130790258,4.903278299624652,0
smt_6627,26.20548469104276,327.6,7.999232201173003,4.903195300893896,0
smt_24630,26.204858300303243,327.6,7.99904099520856,4.9030630289459785,0
smt_24629,26.2044717819752,327.6,7.998923010370939,4.902981443093068,0
smt_24628,26.20395644269163,327.6,7.998765702897323,4.902872705466936,0
smt_24627,26.20357382381942,327.6,7.998648908369785,4.90279200136176,0
smt_6957,26.203215884743614,327.6,7.998539647357634,4.902716525455145,0
smt_6431,26.202770410103543,327.6,7.998403666087772,4.90262262206472,0
smt_24626,26.202399674837146,327.6,7.998290499034537,4.902544499093015,0
smt_12228,26.201996572404145,327.6,7.998167451893816,4.902459582094079,0
rbt_606132,4.9456342837486265,61.95,7.983267608956621,3.7509627563339847,0
smt_6510,26.151345947155505,327.6,7.982706333075551,4.890900439189699,0
smt_19223,26.15080282620325,327.6,7.982540545239086,4.8907849312084,0
smt_22843,26.150340515351658,327.6,7.982399424710518,4.89068664931425,0
smt_6737,26.14993726321072,327.6,7.982276331871403,4.8906009525657295,0
smt_24665,26.149411764481368,327.6,7.98211592322386,4.890489318593528,0
smt_24635,26.148868852495866,327.6,7.981950199174562,4.89037403516035,0
smt_24637,26.148307058198878,327.6,7.981778711293918,4.8902547954463484,0
smt_24636,26.14775764804278,327.6,7.981611003676062,4.890138236562091,0
smt_19174,26.14725740412266,327.6,7.981458304066745,4.890032153470677,0
smt_6686,26.146667241984456,327.6,7.981278156893912,4.889907057235611,0
smt_19173,26.14567475664367,327.6,7.980975200440679,4.889696815459336,0
smt_19172,26.145339366958353,327.6,7.98087282263686,4.889625806816574,0
smt_6544,26.144973387178165,327.6,7.9807611071972415,4.8895483436141145,0
smt_6535,26.144432418985847,327.6,7.980595976491406,4.889433884463032,0
smt_24634,26.14324975392079,327.6,7.980234967619289,4.889183828082118,0
smt_24633,26.14282769001095,327.6,7.980106132481975,4.889094646870567,0
smt_24632,26.142373649523968,327.6,7.979967536484728,4.888998743143604,0
smt_1873,26.14192676026456,327.6,7.97983112340188,4.888904384423889,0
smt_24631,26.14152631124136,327.6,7.979708886215311,4.888819860432276,0
smt_6527,26.141110265815364,327.6,7.979581888222027,4.88873207353414,0
smt_24511,26.14087031420008,327.6,7.9795086429182165,4.8896284369627905,0
smt_29446,26.140204358862032,327.6,7.979305359847995,4.88948391027563,0
smt_32671,26.139765132069332,327.6,7.9791712857354495,4.889388630897925,0
smt_6389,26.13928027590169,327.6,7.979023283242273,4.889283492257385,0
smt_24510,26.13926538535971,327.6,7.979018737899788,4.889280263768809,0
smt_24509,26.138749869874005,327.6,7.978861376640416,4.889168522870389,0
smt_24508,26.13829797038133,327.6,7.978723434182335,4.889070609037987,0
smt_6426,26.137890576810452,327.6,7.978599077170467,4.888982368728111,0
smt_6420,26.137475208584092,327.6,7.978472285892579,4.888892430750397,0
smt_6140,26.137026347965136,327.6,7.978335271051629,4.888795274413886,0
smt_6653,26.136598195149123,327.6,7.978204577273846,4.888702632877185,0
smt_6650,26.136176308276834,327.6,7.978075796177299,4.88861137818813,0
smt_29445,26.135762450097133,327.6,7.977949465841615,4.888521890104156,0
smt_24507,26.13533668762661,327.6,7.977819501717523,4.888429858926339,0
smt_24506,26.134912359596967,327.6,7.977689975456949,4.888338169079124,0
smt_24505,26.13447446320342,327.6,7.977556307449152,4.888243580029999,0
smt_24459,26.134098720691007,327.6,7.977441611932541,4.888162443217492,0
smt_24458,26.13364612172971,327.6,7.97730345596145,4.888064742691543,0
smt_24457,26.133190674112086,327.6,7.977164430437145,4.88796646305423,0
