hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,373.0295763282621,36.94272315593457,21.131772044937854,-109.80737858461156
1,359.27814890859094,30.997549674627326,21.018292113458035,-109.9994482319108
2,350.2445916465475,27.069929767338905,20.94190153868356,-110.14651240002297
3,347.24766555075496,25.70938480994535,20.90671135078388,-110.25390757785021
4,347.16618149117335,25.683797423515447,20.908514039643542,-110.24427850694508
5,512.1856206204766,97.5613552100649,22.663468760190437,-107.13643822718625
6,642.7968249213351,156.35696492373168,25.334155267117705,-101.77111863386467
7,870.7674063037903,253.60031773043423,29.347461913763883,-97.4803267685985
8,1000.125975657661,306.4663609034265,32.380695858937266,-96.33374129840624
9,939.3614818317221,280.62954837064717,32.326998970231905,-96.57284440105028
10,798.9250734196086,223.58918049409652,32.35559608178971,-95.27810977740619
11,820.8116738531365,234.0935426951087,33.959319383050776,-93.04613333705596
12,728.2413120780943,195.57409881004423,32.66249255485978,-93.99120611692874
13,771.4928915803363,213.98586620071086,33.60882507544238,-92.99212849503708
14,637.9630132303504,157.38262862023626,31.179257639721015,-95.5058517787619
15,578.2642240133551,131.46198841546038,29.733591629722955,-97.31015026907471
16,605.8071280211217,140.42142826313886,27.536299204541095,-100.73786774549914
17,732.4603498263181,193.27753600583569,27.131022855104064,-100.9799036134497
18,814.8983801358696,230.51342943915222,28.238077231620174,-98.14751680282795
19,687.2322793050873,174.4244464867578,25.519533327298387,-102.40804317700795
20,530.7564324266184,105.7138843925936,22.922546133635482,-106.67805856071426
21,445.6093362464258,68.46467496244071,21.84037501772546,-108.57524276624702
22,440.1136602178782,65.94129292448139,21.752056384924643,-108.81518019888212
23,421.81689002351237,58.01289631107058,21.565843722235282,-109.1180714495627
