voltageLevel,minVoltagePu,meanVoltagePu,maxVoltagePu,maxViolationPu,violationCount,violationPct
MV,0.982055474563777,0.9927268490723428,0.9993881041173467,0.0,0,0.0
LV,0.0,0.5966028794056861,1.0862907911679927,0.9499999999999874,6644,38.55617455896008
