hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,539.4224627646083,-1170.1501043680453,150.5426324161072,-56.715047132381244
1,524.5692792284168,-1177.538198578687,150.76738599903493,-56.74146890967041
2,514.8300402047984,-1182.5054977884922,150.95777924269115,-56.770473559699475
3,511.6495284156771,-1184.4666581687059,151.1340960706014,-56.81288626528835
4,511.55268646372565,-1184.4608852276383,151.11901837389104,-56.806205046767545
5,689.4261412422132,-1093.751109274722,148.14134408486697,-55.75986118071927
6,834.7805994736628,-1015.1994863920627,146.23815408464492,-51.73521620758765
7,1087.3711035152635,-894.4734768239935,146.76445370192903,-49.35243293587898
8,1233.7367866716127,-831.8167575176117,150.2043393474623,-48.87114266404939
9,1179.446603290745,-861.3998357483501,152.86605059791128,-48.14557650008883
10,1043.7306049007814,-927.3056220938724,156.76608372590803,-45.240018535272704
11,1071.905775885693,-913.3011640630893,158.37969669233792,-43.04970380404113
12,974.7201399179224,-959.1625191828417,158.5120760455757,-43.30825430394961
13,1021.5482982542891,-936.8453434940844,158.88007542347071,-42.60291394250226
14,877.7480562865851,-1005.717627223834,158.5522436507828,-44.09201823305795
15,811.5790566570987,-1037.5658736533242,157.8763327223306,-45.46697431848411
16,830.5383089742797,-1028.1917615949471,153.8728673238117,-49.490068994662934
17,949.8652209004966,-965.6768902603159,148.54177784823008,-51.39831710377141
18,1020.8417267185399,-924.4200371703876,145.92306984243055,-49.68583473806369
19,877.9968667738218,-997.1482898301113,146.26733485485568,-52.908113213028415
20,709.4301304949224,-1083.4539037963168,147.86658765781897,-55.51427695582269
21,617.708018673848,-1130.5494230433953,149.25927065479638,-56.384289430686394
22,611.8746173787024,-1134.1134763528005,149.5260469105894,-56.5201695248414
23,592.1282300644733,-1144.0213245042075,149.8122112645271,-56.60286559776908
