hour,node,bus,phase,voltagePu,baseKvLN,voltageLevel,violationPu,hasViolation
0,uc605803.1,uc605803,1,1.0072133529485512,0.2193931022920578,LV,0.0,0
0,uc605803.4,uc605803,4,0.0011158098659268159,0.2193931022920578,LV,0.9488841901340731,1
0,uc605865.1,uc605865,1,1.026268881970324,0.2193931022920578,LV,0.0,0
0,uc605865.2,uc605865,2,1.0250309345316606,0.2193931022920578,LV,0.0,0
0,uc605865.4,uc605865,4,0.00041300660536659154,0.2193931022920578,LV,0.9495869933946334,1
0,uc3435739.1,uc3435739,1,1.0253157283895529,0.2193931022920578,LV,0.0,0
0,uc3435739.2,uc3435739,2,1.021842753059435,0.2193931022920578,LV,0.0,0
0,uc3435739.4,uc3435739,4,7.784566354957722e-06,0.2193931022920578,LV,0.949992215433645,1
0,uc1607277.1,uc1607277,1,0.9979021196410248,0.2193931022920578,LV,0.0,0
0,uc1607277.4,uc1607277,4,0.0018670023003283318,0.2193931022920578,LV,0.9481329976996716,1
0,uc605911.1,uc605911,1,1.0039365225786794,0.2193931022920578,LV,0.0,0
0,uc605911.2,uc605911,2,1.003719136982846,0.2193931022920578,LV,0.0,0
0,uc605911.3,uc605911,3,1.0042966480479303,0.2193931022920578,LV,0.0,0
0,uc605911.4,uc605911,4,2.2289587724998966e-13,0.2193931022920578,LV,0.949999999999777,1
0,uc3405847.2,uc3405847,2,1.022624966018441,0.2193931022920578,LV,0.0,0
0,uc3405847.4,uc3405847,4,6.887905424362427e-05,0.2193931022920578,LV,0.9499311209457564,1
0,uc633056.2,uc633056,2,1.004563922712308,0.2193931022920578,LV,0.0,0
0,uc633056.4,uc633056,4,0.00120182375341723,0.2193931022920578,LV,0.9487981762465827,1
0,uc1607306.1,uc1607306,1,1.01804901063155,0.2193931022920578,LV,0.0,0
0,uc1607306.2,uc1607306,2,1.0166461439830272,0.2193931022920578,LV,0.0,0
0,uc1607306.4,uc1607306,4,2.3726463674966697e-06,0.2193931022920578,LV,0.9499976273536325,1
0,uc622703.1,uc622703,1,0.9908192874983972,0.2193931022920578,LV,0.0,0
0,uc622703.4,uc622703,4,0.00630556719553364,0.2193931022920578,LV,0.9436944328044663,1
0,uc1636598.1,uc1636598,1,0.0,0.1270170592217177,LV,0.0,0
0,uc1636598.4,uc1636598,4,0.0,0.1270170592217177,LV,0.0,0
0,uc1632306.1,uc1632306,1,1.015392937474077,0.2193931022920578,LV,0.0,0
0,uc1632306.4,uc1632306,4,9.147403746440009e-06,0.2193931022920578,LV,0.9499908525962535,1
0,uc605921.1,uc605921,1,1.0309430342195758,0.2193931022920578,LV,0.0,0
0,uc605921.2,uc605921,2,1.0301396575749637,0.2193931022920578,LV,0.0,0
0,uc605921.4,uc605921,4,5.807406981541294e-06,0.2193931022920578,LV,0.9499941925930184,1
0,uc1625170.1,uc1625170,1,1.0151487469469416,0.2193931022920578,LV,0.0,0
0,uc1625170.4,uc1625170,4,6.677232099657202e-05,0.2193931022920578,LV,0.9499332276790033,1
0,uc628766.1,uc628766,1,1.0061937050781966,0.2193931022920578,LV,0.0,0
0,uc628766.2,uc628766,2,1.0049156737015035,0.2193931022920578,LV,0.0,0
0,uc628766.4,uc628766,4,6.532001756966219e-06,0.2193931022920578,LV,0.949993467998243,1
0,uc1607368.1,uc1607368,1,0.0,0.1270170592217177,LV,0.0,0
0,uc1607368.2,uc1607368,2,0.0,0.1270170592217177,LV,0.0,0
0,uc1607368.4,uc1607368,4,0.0,0.1270170592217177,LV,0.0,0
0,uc606132.1,uc606132,1,1.0019659525952902,0.2193931022920578,LV,0.0,0
0,uc606132.2,uc606132,2,1.0017613387469533,0.2193931022920578,LV,0.0,0
0,uc606132.3,uc606132,3,1.0023504967079055,0.2193931022920578,LV,0.0,0
0,uc606132.4,uc606132,4,9.80353167470373e-13,0.2193931022920578,LV,0.9499999999990196,1
0,uc621999.1,uc621999,1,1.0079313191915311,0.2193931022920578,LV,0.0,0
0,uc621999.4,uc621999,4,0.0004949226171128427,0.2193931022920578,LV,0.9495050773828871,1
0,uc3405844.1,uc3405844,1,1.0263125209464892,0.2193931022920578,LV,0.0,0
0,uc3405844.4,uc3405844,4,0.0008253125013905166,0.2193931022920578,LV,0.9491746874986094,1
0,uc636933.1,uc636933,1,1.0049597021720378,0.2193931022920578,LV,0.0,0
0,uc636933.2,uc636933,2,1.0007324094910486,0.2193931022920578,LV,0.0,0
0,uc636933.4,uc636933,4,1.5472241309486217e-06,0.2193931022920578,LV,0.949998452775869,1
0,uc1132015.1,uc1132015,1,1.019358813259876,0.2193931022920578,LV,0.0,0
0,uc1132015.4,uc1132015,4,0.0009004478171754216,0.2193931022920578,LV,0.9490995521828245,1
0,uc625156.1,uc625156,1,1.0072385331346574,0.2193931022920578,LV,0.0,0
0,uc625156.4,uc625156,4,0.0010899269282819896,0.2193931022920578,LV,0.9489100730717179,1
0,uc627337.1,uc627337,1,1.0061437383834513,0.2193931022920578,LV,0.0,0
0,uc627337.4,uc627337,4,0.0013107193460258765,0.2193931022920578,LV,0.9486892806539741,1
