PAC,long,lat
800391,-53.62057675980958,-27.717424735463112
800381,-53.61978599312903,-27.71750968272562
461501,-53.62178643429644,-27.71692374113769
461491,-53.62178643429644,-27.71692374113769
461472,-53.62101215938361,-27.717195223980355
326321,-53.638798834798365,-27.718086595120212
800701,-53.63876804830676,-27.710145388998455
800691,-53.637883053360156,-27.710106833263694
800681,-53.63699970237434,-27.7100089555488
800671,-53.63610490661608,-27.709832201894585
800661,-53.63545308069507,-27.70929270399506
800652,-53.63488857534742,-27.708940428757728
800641,-53.63431287793691,-27.710788505884807
800631,-53.63407733380188,-27.7110766046016
800621,-53.633567500040044,-27.711451764886988
800611,-53.63335353693611,-27.712138973734625
800601,-53.63340466789106,-27.71289007581629
800591,-53.63318295353042,-27.713415193556273
800581,-53.63270029458289,-27.714061601961305
800571,-53.63166755271533,-27.714400098685587
800561,-53.63166755271533,-27.714400098685587
800531,-53.63083550535424,-27.714697301239426
800521,-53.630053132945704,-27.714932113326313
800871,-53.64685267381179,-27.69564093957763
800861,-53.64600494946882,-27.695646647574677
800851,-53.645147980095146,-27.695650235869664
800841,-53.64428758880115,-27.69565861215517
800831,-53.64340070887556,-27.69566903170039
800821,-53.64254280420698,-27.695686840075552
800811,-53.64167135215115,-27.695680876671076
800801,-53.64085214351155,-27.695709142363
800791,-53.63994773489998,-27.695721561101095
800781,-53.63909696455323,-27.695750779175057
800771,-53.63821749683996,-27.69582376455503
800761,-53.637335181873084,-27.695912479077606
800751,-53.636452036832,-27.696024462658784
800741,-53.63558781352674,-27.696087099539966
800732,-53.635297847817355,-27.69675596311714
800721,-53.63459714734046,-27.70866511660182
800712,-53.639523585844756,-27.710126609355484
801041,-53.656179100285215,-27.69163204608202
801031,-53.65561248153074,-27.6918750312077
801021,-53.65532472365703,-27.694085377737963
801011,-53.655383095953084,-27.693404780706032
801001,-53.65535559018832,-27.69262211331983
800991,-53.655610165776466,-27.69188777909767
800981,-53.654914864829095,-27.692428589108033
800971,-53.65425750627884,-27.69285381645045
800961,-53.65348485194431,-27.693213892407186
800951,-53.652715987352906,-27.693554439585682
800941,-53.65202116034823,-27.693929778836207
800931,-53.65127387498927,-27.69428837271016
800921,-53.650546479936054,-27.69462421643442
800911,-53.649788262418326,-27.695007309639607
800901,-53.64889092697467,-27.695688031677264
800891,-53.64829809657988,-27.69569760046386
800881,-53.647731650495246,-27.695661396456217
801221,-53.65561248153074,-27.6918750312077
801211,-53.63204739127406,-27.714539482810835
801201,-53.66862007055977,-27.68704157181105
801191,-53.667853794217194,-27.687477161142056
801181,-53.66712949912704,-27.68790680325634
801171,-53.666406774253176,-27.688380422218643
801161,-53.66570478774571,-27.688861459688553
801151,-53.66515468863793,-27.689183775810534
801141,-53.664441372471344,-27.689615675223195
801131,-53.663646905979874,-27.690007910036968
801121,-53.662843299678514,-27.690328275529453
822931,-53.66205774906581,-27.690682049936584
801101,-53.66123598635164,-27.691001014285348
801091,-53.660382271624485,-27.69118920731603
