hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,508.2288465635001,-1185.624544633393,151.01015083957057,-56.760664139607
1,494.6076496319973,-1192.398259359189,151.22877403145705,-56.77134926048818
2,485.67455611735056,-1196.951338702472,151.41164153364284,-56.78715465634946
3,482.75246627503975,-1198.7462989604087,151.57670158861853,-56.81713921739164
4,482.66453980484397,-1198.7414618359157,151.56275969389714,-56.81189674749286
5,645.8344997485834,-1115.5954356284285,148.64732108067426,-56.08774527522103
6,775.2682318343373,-1045.7101092488626,146.68815108820735,-52.87629123071194
7,1002.4806865466697,-937.0651013852093,146.76305438898507,-51.06293475943134
8,1132.5781856712422,-881.2913974007828,149.61088284602246,-50.679591348321786
9,1074.4275001440496,-912.2972498092366,152.2605080334012,-49.780144208573766
10,937.7592866599299,-978.3574451505604,156.39668945855965,-46.56713925231657
11,960.1605612632559,-967.0491621756447,157.8535506268715,-44.54512402723106
12,868.7037003322322,-1010.1918411614212,158.32903661089532,-44.47143459146489
13,911.6461659351181,-989.7050217319323,158.52075602866194,-43.941906269526406
14,779.1886930692312,-1053.180929923527,158.66345834995565,-44.93552709770459
15,719.7441303500076,-1081.8623264597456,158.18465685881242,-46.09791798627466
16,745.2523894800216,-1069.6234579224563,154.2728923088563,-50.087669707311164
17,867.5915485626631,-1006.4402807241875,148.8409426798338,-52.47271822544607
18,945.9351509318889,-962.43475252642,146.07803033315577,-51.299978798124066
19,818.8826079271422,-1027.0672578129029,146.64204410805024,-53.851810232083885
20,664.1908301344006,-1106.1595011598938,148.36909037498776,-55.89891744130543
21,580.034810959497,-1149.3222163705586,149.75749190925987,-56.5487246076578
22,574.6728623942996,-1152.583041425317,150.01045017481403,-56.65321785501969
23,556.5620196700775,-1161.666729444605,150.29280048840332,-56.70668401911529
