hour,element,line,bus1,bus2,normAmps,maxCurrentA,loadingRatio,loadingPct,isOverloaded,activeLossesKw,reactiveLossesKvar
0,Line.smt_34422,smt_34422,62911,62921,163.8,0.015435660355047214,9.423480070236394e-05,0.009423480070236395,0,6.655962613422161e-08,-0.049162639893228825
0,Line.smt_34421,smt_34421,8001,62911,163.8,0.015054117023282198,9.190547633261415e-05,0.009190547633261414,0,8.259876011607047e-08,-0.06415311887680455
0,Line.smt_34420,smt_34420,7991,8001,163.8,0.014695117766882362,8.971378368060049e-05,0.008971378368060048,0,7.733309533364263e-08,-0.06210239145604472
0,Line.smt_34711,smt_34711,780431,71861,286.65,32.284191488545225,0.11262582064728843,11.262582064728843,0,0.11541918399406131,0.042240066521859264
0,Line.smt_34710,smt_34710,780421,71851,286.65,32.28205212854763,0.11261835732966208,11.261835732966208,0,0.10154791626069345,0.03715243296150584
0,Line.smt_34709,smt_34709,780411,71841,286.65,32.280090094700185,0.11261151262759528,11.261151262759528,0,0.09927598396400572,0.03631095035618637
0,Line.smt_34708,smt_34708,71841,71831,286.65,32.27910931448977,0.11260809110235401,11.260809110235401,0,0.17819999623810873,0.06516505160805536
0,Line.smt_34707,smt_34707,71831,71821,286.65,32.277348519537846,0.11260194843725048,11.260194843725047,0,0.13807717872812644,0.050481288601120465
0,Line.smt_34706,smt_34706,71821,71811,286.65,32.27598391468528,0.11259718791098998,11.259718791098997,0,0.14818950295922695,0.05416724560392322
0,Line.smt_34705,smt_34705,780401,71801,286.65,32.27327490001558,0.1125877373103631,11.25877373103631,0,0.12429298663552618,0.04541532221273519
0,Line.smt_34704,smt_34704,780391,71791,286.65,32.27101443422732,0.1125798515061131,11.25798515061131,0,0.1037367013868934,0.037892375824972985
0,Line.smt_34703,smt_34703,71791,71781,286.65,32.26998843160672,0.11257627221910596,11.257627221910596,0,0.16596828187763457,0.06061221552029019
0,Line.smt_34702,smt_34702,71781,71771,286.65,32.26834666005413,0.1125705447760479,11.25705447760479,0,0.13804951860388973,0.05040514702128712
0,Line.smt_34701,smt_34701,780381,71751,286.65,32.26598358102572,0.11256230099782216,11.256230099782217,0,0.10174334157453267,0.037137084728979974
0,Line.smt_34700,smt_34700,71751,71741,286.65,32.26497666899807,0.11255878830977872,11.255878830977872,0,0.11897265009157126,0.04341899708256824
0,Line.smt_34721,smt_34721,16cs245,553961,286.65,32.28602288622675,0.11263220961530353,11.263220961530353,0,0.002607001086085802,0.0009544302451540716
0,Line.smt_34720,smt_34720,71871,780431,286.65,32.28524281894977,0.11262948829216735,11.262948829216734,0,0.10648456509420066,0.03897644223604584
0,Line.smt_34719,smt_34719,71861,780421,286.65,32.2830517915455,0.11262184472892205,11.262184472892205,0,0.10122428757982561,0.037039405884686856
0,Line.smt_34718,smt_34718,71851,780411,286.65,32.28104914530996,0.11261485834749681,11.261485834749681,0,0.09708815318279085,0.03551573181187268
0,Line.smt_34717,smt_34717,71811,780401,286.65,32.27451911430303,0.11259207784511786,11.259207784511787,0,0.12585238895122894,0.04599337647575885
0,Line.smt_34716,smt_34716,71801,780391,286.65,32.272045914560564,0.11258344990253119,11.25834499025312,0,0.1043038299678301,0.03810523693676805
