hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,404.513182236666,50.55307921718049,21.40846841785985,-109.35316664441744
1,389.51800204695587,44.06753615275071,21.271519223915984,-109.57708305589522
2,379.6684282569591,39.7814197264076,21.179384188970783,-109.74908267193285
3,376.40555212514533,38.29306471923147,21.1371780626746,-109.87595742438553
4,376.3158244325716,38.265754571550886,21.13930219714714,-109.8644777656962
5,556.21652663968,116.70819402887147,23.250024266908106,-106.22213754452333
6,703.0044572108882,182.9826258186468,26.51370595274311,-99.78581725694066
7,956.547194280832,291.04985425332757,31.42963002415966,-94.65201252143119
8,1102.1853560639668,350.2983079382346,35.14560361483213,-93.30197659805714
9,1045.2582067164954,325.85450136744004,35.07556817524358,-93.70556806443595
10,905.7438636841352,269.05373002428985,34.81246229755536,-92.72954447147052
11,933.4430598622754,281.98657327656196,36.6635505720083,-90.27235270597468
12,835.1032448036271,241.01700919415683,34.93202697630628,-91.60572659464127
13,882.2672396974247,261.0781985244334,36.11613653231222,-90.39270679027744
14,737.2558105676646,199.62285421690967,33.0249627351407,-93.51163290776427
15,670.838509165531,170.87012162551244,31.266149655961428,-95.60381032489302
16,691.8188792103431,177.1483964498103,28.936404572162996,-99.11223487656687
17,815.5340414210474,229.17894058457014,28.760065219105957,-98.85200499262626
18,890.6357281528911,263.8426993851411,30.015390401464536,-95.512677005102
19,746.9845176094819,200.6264480332509,26.671329587184022,-100.656499812247
20,576.4562351802724,125.6092738566068,23.560720513643208,-105.68297387689537
21,483.6461734687828,84.94851965003294,22.26162730359135,-107.9114559062948
22,477.6652361601638,82.18641569008416,22.15591975155488,-108.19514109243363
23,457.71538315877234,73.53658249947964,21.9318100571133,-108.54937212391258
