transformer,ratedKva,maxApparentPowerKva,maxLoadingPct,meanLoadingPct,overloadHours
trf_6_4910a,30.0,31.702791619492977,105.67597206497659,50.25603963486034,2
trf_11_305a,75.0,60.34659976359233,80.46213301812311,27.798454971045487,0
trf_6_1139a,15.0,11.014992826405981,73.4332855093732,27.979463981703987,0
trf_6_3509a,5.0,3.349757914808063,66.99515829616126,31.86764059701181,0
trf_6_1146a,10.0,5.9231972073646535,59.23197207364653,25.351288106220426,0
trf_6_4489a,25.0,13.344376629030236,53.377506516120945,23.837248793088367,0
trf_6_6273a,30.0,15.888620737042357,52.96206912347452,19.868623937972192,0
trf_11_4955a,15.0,7.718890752813626,51.45927168542417,24.55112523625152,0
trf_16_2195a,15.0,6.560389715295456,43.73593143530304,20.84719935052828,0
trf_6_1541a,15.0,6.544206033788818,43.628040225258786,16.939291038762068,0
trf_16_3996a,15.0,6.1065698850037125,40.710465900024744,19.38331147170042,0
trf_34_5029a,10.0,3.8825462353014215,38.82546235301422,14.913932913339309,0
trf_6_6249a,30.0,11.356580931459044,37.855269771530146,15.443996846315954,0
trf_6_3256a,15.0,5.632397288914537,37.549315259430244,17.960627708122164,0
trf_6_3013a,5.0,1.8749929968956722,37.49985993791344,17.940318823425418,0
trf_6_1138a,10.0,3.3511727959860886,33.51172795986089,19.107295974586318,0
trf_11_131a,10.0,3.288054093089698,32.88054093089698,15.783906445367768,0
trf_16_6082a,15.0,4.709845772737289,31.39897181824859,11.678842788676846,0
trf_6_6153a,30.0,9.161083593154872,30.53694531051624,17.242916786170692,0
trf_16_5055a,10.0,2.8553923903467857,28.553923903467858,13.646368249968141,0
trf_11_3987a,5.0,1.3350249133348768,26.700498266697537,12.891127839854107,0
trf_16_1143a,30.0,7.889151077604051,26.297170258680172,15.708146747462365,0
trf_6_1019a,25.0,6.344491342397008,25.377965369588033,13.76316998917387,0
trf_6_127a,15.0,3.691168460982565,24.607789739883764,11.846659899207209,0
trf_6_3434a,5.0,1.2297717945289637,24.595435890579274,11.907099804041207,0
trf_6_729a,15.0,3.6560218384798224,24.373478923198817,11.727151448162685,0
trf_16_2139a,25.0,5.776494590835002,23.10597836334001,11.06834380662751,0
trf_6_5595a,30.0,6.608698104508722,22.02899368169574,8.353697551328962,0
trf_34_1581a,10.0,2.114352656918058,21.14352656918058,10.207391186554998,0
trf_6_1030a,10.0,2.0078302830415367,20.078302830415367,9.688168741551877,0
trf_6_3563a,10.0,1.9510814123734572,19.510814123734573,9.416223710367317,0
trf_16_2916a,10.0,1.932455157703638,19.32455157703638,9.304687286754849,0
trf_6_1350a,45.0,8.613471369387707,19.141047487528237,7.082041551819805,0
trf_6_3820a,15.0,2.781606852893165,18.544045685954433,8.959019506519835,0
trf_6_3538a,10.0,1.8514252750573696,18.514252750573696,8.98262060831258,0
trf_6_4249a,25.0,4.601945383877659,18.407781535510637,7.53706312080454,0
trf_34_1018a,5.0,0.8981127143284867,17.962254286569735,8.78249283033957,0
trf_6_6158a,45.0,7.714139740167742,17.142532755928315,8.302109099616919,0
trf_6_2860a,10.0,1.7022203030806953,17.022203030806953,8.233988846616713,0
trf_16_3221a,25.0,4.193097978536337,16.77239191414535,8.055465885972493,0
trf_16_5474a,10.0,1.664492272529979,16.64492272529979,8.044755797280986,0
trf_16_3130a,30.0,4.832876661882202,16.109588872940673,7.826085036444159,0
trf_6_2090a,15.0,2.412783801402649,16.085225342684325,7.82543760565436,0
trf_6_3634a,10.0,1.588982016346016,15.889820163460161,7.701891138716274,0
trf_6_6197a,75.0,11.71703726833898,15.62271635778531,7.521731386600833,0
trf_16_1301a,10.0,1.5576945231466182,15.57694523146618,7.586613028668064,0
