hour,transformer,apparentPowerKva,ratedKva,loadingPct,isOverloaded
0,trf_6_1030a,0.5283731147252818,10.0,5.2837311472528175,0
0,trf_6_878a,0.1050682795156145,10.0,1.050682795156145,0
0,trf_16_1585a,0.16002051811249146,15.0,1.0668034540832765,0
0,trf_16_3545a,0.044949182063198964,10.0,0.44949182063198967,0
0,trf_16_1143a,2.26521221095802,30.0,7.550707369860066,0
0,trf_16_6460a,0.7286506192514174,25.0,2.91460247700567,0
0,trf_6_725a,0.04958710119659039,10.0,0.4958710119659039,0
0,trf_6_3820a,0.7301711979297308,15.0,4.867807986198206,0
0,trf_6_3538a,0.4901983125424523,10.0,4.901983125424523,0
0,trf_6_4910a,7.959840077453846,30.0,26.532800258179485,0
0,trf_6_1870a,0.24203649165809663,15.0,1.6135766110539775,0
0,trf_6_127a,0.9570412035639944,15.0,6.38027469042663,0
0,trf_6_1541a,0.656674750575571,15.0,4.377831670503807,0
0,trf_6_1503a,0.2803405001749208,10.0,2.8034050017492076,0
0,trf_6_6272a,0.22152373021095714,15.0,1.4768248680730476,0
0,trf_6_128a,0.3619155296214278,15.0,2.4127701974761853,0
0,trf_6_1260a,0.04458988693484368,10.0,0.44589886934843675,0
0,trf_6_1350a,0.721432690350081,45.0,1.6031837563335132,0
0,trf_6_808a,0.5610351337312756,15.0,3.7402342248751705,0
0,trf_6_1475a,0.7871327513650279,15.0,5.247551675766853,0
0,trf_6_1138a,0.8853113281836653,10.0,8.853113281836652,0
0,trf_6_1146a,0.8527137748792895,10.0,8.527137748792894,0
0,trf_16_2916a,0.5031251633051016,10.0,5.031251633051015,0
0,trf_16_1140a,0.044904579285166585,10.0,0.44904579285166585,0
0,trf_16_5474a,0.43770413099912997,10.0,4.3770413099913,0
0,trf_16_3548a,0.8112680655894419,10.0,8.112680655894419,0
0,trf_16_1141a,0.5321370580167534,15.0,3.547580386778356,0
0,trf_6_810a,0.9189334048456557,30.0,3.063111349485519,0
0,trf_16_300a,0.4500935880084509,15.0,3.0006239200563396,0
0,trf_16_3130a,1.2889253868756323,30.0,4.296417956252108,0
0,trf_11_4955a,1.9550235876842934,15.0,13.033490584561955,0
0,trf_11_131a,0.8484021057883981,10.0,8.484021057883982,0
0,trf_6_1048a,0.21830807638312397,15.0,1.4553871758874932,0
0,trf_6_129a,0.40816319923886757,10.0,4.081631992388676,0
0,trf_34_1018a,0.2430264508486996,5.0,4.860529016973992,0
0,trf_16_5730a,0.3521258000303152,25.0,1.4085032001212607,0
0,trf_16_1144a,0.5625451236443251,15.0,3.7503008242955005,0
0,trf_6_6273a,1.3324413681147322,30.0,4.4414712270491075,0
0,trf_6_1238a,0.5696332843692536,15.0,3.7975552291283576,0
0,trf_6_731a,0.21145835747089084,15.0,1.4097223831392722,0
0,trf_6_732a,0.8075213675748907,30.0,2.6917378919163024,0
0,trf_16_6082a,0.3838972165519735,15.0,2.5593147770131566,0
0,trf_16_537a,0.20816929257952274,5.0,4.163385851590455,0
0,trf_16_3996a,1.5447195794591773,15.0,10.298130529727848,0
0,trf_16_1095a,0.41100316008288107,15.0,2.740021067219207,0
0,trf_6_730a,0.2892878124737106,15.0,1.928585416491404,0
0,trf_34_1649a,0.13927865407436124,5.0,2.785573081487225,0
0,trf_34_5029a,0.36959669055713995,10.0,3.6959669055713995,0
0,trf_34_1581a,0.5534798101072732,10.0,5.534798101072733,0
0,trf_11_132a,0.3513191403072576,10.0,3.513191403072576,0
0,trf_16_3221a,1.0864456059481515,25.0,4.345782423792606,0
0,trf_16_504a,0.9496478397802973,15.0,6.330985598535316,0
0,trf_6_735a,0.17416997949910937,10.0,1.7416997949910935,0
0,trf_6_4489a,2.158777194486727,25.0,8.635108777946908,0
0,trf_6_729a,0.9543023538892059,15.0,6.3620156925947065,0
0,trf_16_299a,1.3576465017243966,45.0,3.016992226054215,0
0,trf_16_1301a,0.41845351757788485,10.0,4.184535175778849,0
0,trf_16_2139a,1.4816060051763504,25.0,5.926424020705401,0
0,trf_16_6081a,0.17027434834429547,10.0,1.702743483442955,0
0,trf_6_1019a,1.806745028768213,25.0,7.226980115072852,0
0,trf_11_2597a,0.4143883317252225,10.0,4.143883317252225,0
0,trf_11_130a,0.36284881421216314,15.0,2.4189920947477543,0
0,trf_6_4704a,1.1437528015650418,10.0,11.437528015650418,0
0,trf_6_733a,0.04987122058102854,10.0,0.49871220581028536,0
0,trf_11_305a,0.9334542049585117,75.0,1.244605606611349,0
0,trf_16_539a,0.04957436341940846,10.0,0.4957436341940847,0
0,trf_6_1151a,0.6250056949611625,30.0,2.0833523165372085,0
0,trf_6_4764a,0.26818418892952955,75.0,0.3575789185727061,0
0,trf_6_4765a,0.44695699559159385,150.0,0.2979713303943959,0
0,trf_16_538a,0.47660355053356407,30.0,1.5886785017785467,0
0,trf_11_133a,0.049422228904848445,10.0,0.4942222890484844,0
0,trf_6_723a,0.5646259418560964,15.0,3.764172945707309,0
0,trf_6_722a,0.19032857242698037,15.0,1.2688571495132024,0
0,trf_6_726a,0.07932553115890136,15.0,0.5288368743926757,0
0,trf_6_737a,0.5330651095306569,15.0,3.553767396871046,0
0,trf_6_728a,0.9811640842644695,30.0,3.270546947548232,0
0,trf_6_125a,0.04887179630355271,10.0,0.48871796303552717,0
0,trf_6_3011a,0.2174574275006767,10.0,2.174574275006767,0
0,trf_6_3819a,1.2327626816055741,30.0,4.109208938685247,0
0,trf_6_1344a,0.14945302589973417,10.0,1.4945302589973415,0
0,trf_6_122a,0.08486975595307261,10.0,0.848697559530726,0
0,trf_6_1212a,0.4618114730949739,25.0,1.8472458923798956,0
