transformer,ratedKva,maxApparentPowerKva,maxLoadingPct,meanLoadingPct,overloadHours
trf_6_4910a,30.0,26.56157396085276,88.53857986950919,42.11601046278452,0
trf_11_305a,75.0,60.50043450119172,80.66724600158896,27.875020467686543,0
trf_6_1139a,15.0,11.180018514500993,74.53345676333996,27.446288972059904,0
trf_6_1146a,10.0,6.073889664413837,60.738896644138364,24.64388188979531,0
trf_6_3509a,5.0,2.8031428872521214,56.06285774504242,26.708545569833472,0
trf_6_4489a,25.0,13.726321842817407,54.90528737126963,22.972278671471045,0
trf_6_6273a,30.0,16.110609490839288,53.70203163613096,19.521168923632022,0
trf_6_1541a,15.0,6.651472947925189,44.34315298616793,16.606479249761566,0
trf_11_4955a,15.0,6.471416509579972,43.14277673053314,20.600104212553276,0
trf_34_5029a,10.0,3.9430571210198075,39.430571210198075,14.632474243101944,0
trf_6_6249a,30.0,11.592373958731951,38.6412465291065,15.077037699735092,0
trf_16_2195a,15.0,5.495220840769198,36.63480560512799,17.48584935595552,0
trf_6_1138a,10.0,3.5080128893197333,35.08012889319733,17.709142430171358,0
trf_16_3996a,15.0,5.112904198622228,34.086027990814856,16.25667936211711,0
trf_16_6082a,15.0,4.770552752905011,31.80368501936674,11.505453814850997,0
trf_6_3256a,15.0,4.7228296722295395,31.48553114819693,15.084957076205049,0
trf_6_3013a,5.0,1.569623767757165,31.3924753551433,15.064957683577083,0
trf_16_1143a,30.0,8.290713067625033,27.635710225416776,14.524066232329183,0
trf_11_131a,10.0,2.7591649170362675,27.59164917036268,13.277543758955309,0
trf_6_6153a,30.0,7.675060264464269,25.5835342148809,14.472326172295626,0
trf_16_5055a,10.0,2.3877930418823796,23.877930418823798,11.446044949322234,0
trf_11_3987a,5.0,1.1211961731712643,22.423923463425286,10.870137913260542,0
trf_6_5595a,30.0,6.700099533113409,22.333665110378032,8.21450159162215,0
trf_6_1019a,25.0,5.277431449502735,21.109725798010935,12.630932654630447,0
trf_6_3434a,5.0,1.0334523047157858,20.669046094315714,10.049150961056888,0
trf_6_127a,15.0,3.0998791019463336,20.665860679642222,9.972665626447574,0
trf_6_729a,15.0,3.066934653203605,20.446231021357367,9.880097590754888,0
trf_16_2139a,25.0,4.843205387099355,19.37282154839742,9.301070145191071,0
trf_6_1350a,45.0,8.71452240661584,19.3656053480352,6.9937212153776604,0
trf_6_4249a,25.0,4.697535785583556,18.790143142334223,7.361906510899843,0
trf_34_1581a,10.0,1.7756885584028612,17.756885584028613,8.60442477857046,0
trf_6_1030a,10.0,1.6852576109095663,16.85257610909566,8.171692260108951,0
trf_6_3563a,10.0,1.6371308680235916,16.371308680235916,7.934758776018459,0
trf_16_2916a,10.0,1.6184135369517154,16.184135369517154,7.828552420332386,0
trf_6_3820a,15.0,2.3369706563100903,15.579804375400602,7.554423425770332,0
trf_6_3538a,10.0,1.5569292933028116,15.569292933028118,7.583784512269066,0
trf_34_1018a,5.0,0.7560534282703293,15.121068565406585,7.437294982850684,0
trf_6_6158a,45.0,6.483358701402424,14.407463780894275,7.006337748096715,0
trf_6_2860a,10.0,1.4295520423827583,14.295520423827583,6.950300047844185,0
trf_16_3221a,25.0,3.51571397248707,14.06285588994828,6.778492474596952,0
trf_16_5474a,10.0,1.3948942414480465,13.948942414480465,6.777751541991022,0
trf_16_3130a,30.0,4.062079097526141,13.540263658420468,6.613023070774652,0
trf_6_2090a,15.0,2.0280828178701795,13.52055211913453,6.620508932904042,0
trf_6_3634a,10.0,1.33395489887128,13.339548988712801,6.500729341424776,0
trf_6_6197a,75.0,9.831250436173987,13.10833391489865,6.340308263077982,0
trf_16_1301a,10.0,1.30961695057219,13.0961695057219,6.416513646117419,0
trf_11_2597a,10.0,1.303934628618707,13.039346286187069,6.372832572454303,0
trf_6_727a,30.0,3.9080369682507325,13.026789894169108,6.3549354668939175,0
trf_6_3819a,30.0,3.8617378388473806,12.872459462824601,6.3094134359072,0
trf_6_129a,10.0,1.2781058713647306,12.781058713647306,6.26815311311287,0
trf_6_4704a,10.0,1.2675204685978536,12.675204685978537,9.697262728879648,0
trf_16_537a,5.0,0.6288391194962811,12.576782389925622,6.269460915734107,0
trf_16_504a,15.0,1.8133126591751,12.088751061167333,8.091463275870623,0
trf_6_1238a,15.0,1.8021393454406924,12.014262302937949,5.851576618054235,0
