hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,404.5203956977219,50.56075548852577,21.379847980489373,-109.37497683774068
1,389.5243662693283,44.0738050062434,21.245176927785323,-109.5980677891351
2,379.67479182815686,39.78685386753362,21.154291672254253,-109.7695915028287
3,376.41159748376293,38.29826938964731,21.111961185500554,-109.89652046333971
4,376.3219042250213,38.270946089562436,21.11417372550846,-109.88500569942991
5,556.22844493813,116.7339847376681,23.19569064723757,-106.25157859621655
6,703.0319529777005,183.03739107964765,26.434399372768187,-99.82067720226011
7,956.5893752426019,291.18395479244737,31.251532520914324,-94.70354831511769
8,1102.228314722953,350.50722243228444,34.86412116856102,-93.36687892336262
9,1045.3181074759032,326.06901228358,34.805534850155595,-93.76951546462426
10,905.8267745243949,269.247424648152,34.59625871988644,-92.78801545909253
11,933.535729154074,282.20124814369166,36.42906754165193,-90.3335758855998
12,835.195390486294,241.19682665234572,34.745355262098784,-91.66085675069446
13,882.3625223667605,261.277646533209,35.90602511050513,-90.45107277796693
14,737.3409937564778,199.76788855573554,32.87967279720927,-93.56061073456735
15,670.9158010280992,170.98986249950661,31.14862064192762,-95.64794309077462
16,691.8844957132972,177.25581279757765,28.823960124231874,-99.15463092821356
17,815.5872490594368,229.29129890525772,28.626407186420753,-98.89702886062443
18,890.6682798652299,263.94444152976854,29.87188031230168,-95.55914344868457
19,747.002969917706,200.68596953751137,26.572189051187472,-100.69561931034946
20,576.4689422030332,125.63801097969358,23.502565037471953,-105.71336803912786
21,483.65558458800655,84.96472577114919,22.220372969146062,-107.9373388860389
22,477.67398717853547,82.20208314484817,22.114598281352926,-108.22105869581213
23,457.72360973714603,73.54988745885427,21.894062794035683,-108.57421338185922
