voltageLevel,minVoltagePu,meanVoltagePu,maxVoltagePu,maxViolationPu,violationCount,violationPct
MV,0.9777394971610504,0.9907631818347709,0.9992254221329028,0.0,0,0.0
LV,0.0,0.594917428395991,1.0835249668708433,0.9499999999999874,6655,38.62000928505107
