hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,404.07911408678046,50.19117955681846,21.398358295138713,-109.35845984966511
1,389.1003909294309,43.72016476907764,21.261697450643258,-109.58203815817893
2,379.2727052771677,39.45267680043676,21.16984339701006,-109.75365951228463
3,376.0457516954446,37.99532784389929,21.127974064122586,-109.88000782324988
4,375.9523192115346,37.96480772188502,21.130066496495886,-109.86857978184936
5,555.4843615702815,116.08903787101653,23.23417586666081,-106.23400155294824
6,701.7243888405869,181.89142919557062,26.484095184253395,-99.81139342064965
7,955.2510986327637,289.94643212450313,31.39336178758514,-94.68211839735068
8,1101.2864547967968,349.53656401291755,35.11772767498403,-93.3238347561073
9,1044.5904563131908,325.2914013029805,35.0552107846613,-93.72053198244956
10,905.2808482204406,268.66670701107495,34.798551337804035,-92.73840592788217
11,933.000388819192,281.61706165871,36.64986097411866,-90.28093811915527
12,834.6552545218867,240.64272356968408,34.91919847193952,-91.61380074859403
13,881.8276271495598,260.7111968257829,36.103024444555096,-90.40090154913611
14,736.8424221338585,199.27834820800214,33.01350662805573,-93.51840863475041
15,670.4073348461006,170.51019816392866,31.254993139133077,-95.61052129178468
16,691.1868321977187,176.61498515232026,28.921904747218704,-99.1230798696689
17,814.4655680448532,228.26946775288832,28.734032698926622,-98.87429689231521
18,889.2887159360732,262.69544449080206,29.978986348071643,-95.54292065906606
19,745.9019696989434,199.7056781730756,26.644887476983786,-100.67843509520429
20,575.6806555878388,124.95266438240937,23.543831351176692,-105.6959328625808
21,483.07221093031956,84.465948838269,22.24908856677397,-107.91963853299384
22,477.148300481742,81.75309601070401,22.144175089812524,-108.20227767073976
23,457.2269233802154,73.12784486498042,21.920614098321742,-108.55588311154412
