transformer,ratedKva,maxApparentPowerKva,maxLoadingPct,meanLoadingPct,overloadHours
trf_6_4910a,30.0,30.848283154126783,102.82761051375594,48.85683923471459,1
trf_11_305a,75.0,62.5721022052167,83.42946960695559,28.71026174008094,0
trf_6_1139a,15.0,11.014961569262839,73.43307712841893,27.9787574651226,0
trf_6_3509a,5.0,3.348899602394777,66.97799204789554,31.860371927834233,0
trf_6_1146a,10.0,5.923352821026544,59.23352821026545,25.471791963130897,0
trf_6_6273a,30.0,16.390374285037357,54.63458095012452,20.362351864582187,0
trf_6_4489a,25.0,13.34478304178031,53.37913216712124,23.836100529194624,0
trf_11_4955a,15.0,7.71729425230983,51.4486283487322,24.546290263137127,0
trf_6_1541a,15.0,6.753430242684412,45.02286828456275,17.368979285760307,0
trf_16_2195a,15.0,6.558823185233077,43.72548790155385,20.842674585730183,0
trf_16_3996a,15.0,6.105261570530057,40.70174380353372,19.37933138656132,0
trf_34_5029a,10.0,3.9917156767068662,39.91715676706866,15.255797726685381,0
trf_6_6249a,30.0,11.676835232886104,38.922784109620345,15.777619778788818,0
trf_6_3256a,15.0,5.631499171355583,37.54332780903722,17.957604130421256,0
trf_6_3013a,5.0,1.8745623421109316,37.49124684221864,17.936504219368494,0
trf_6_1138a,10.0,3.351386945612492,33.51386945612492,19.10593907952523,0
trf_16_6082a,15.0,4.956317813088781,33.04211875392521,12.191779583251694,0
trf_11_131a,10.0,3.2873905657853686,32.87390565785368,15.78079211604428,0
trf_6_6153a,30.0,9.158912263584613,30.529707545282044,17.239382396179487,0
trf_16_5055a,10.0,2.8553953548127384,28.553953548127385,13.646377510543923,0
trf_16_1143a,30.0,8.111447229239765,27.038157430799217,15.921514773994096,0
trf_11_3987a,5.0,1.3347753103258395,26.69550620651679,12.888676414928414,0
trf_6_1019a,25.0,6.343301415645708,25.373205662582833,13.762453712694997,0
trf_6_127a,15.0,3.6904825155542373,24.603216770361584,11.844467828405902,0
trf_6_3434a,5.0,1.229564727255617,24.59129454511234,11.90496813691369,0
trf_6_729a,15.0,3.6551352537384116,24.367568358256076,11.724547923790825,0
trf_16_2139a,25.0,5.775126538375381,23.100506153501524,11.065947531680758,0
trf_6_5595a,30.0,6.8022608214542055,22.674202738180686,8.584908884275588,0
trf_34_1581a,10.0,2.113994333003901,21.13994333003901,10.205598964652339,0
trf_6_1030a,10.0,2.007314144571072,20.07314144571072,9.68591557749285,0
trf_6_1350a,45.0,8.85367677302699,19.67483727339331,7.277124971172582,0
trf_6_3563a,10.0,1.9505842551073507,19.505842551073506,9.414068877918572,0
trf_16_2916a,10.0,1.9319930343382838,19.31993034338284,9.302644640049298,0
trf_6_3820a,15.0,2.7811595629801387,18.541063753200927,8.95746052254022,0
trf_6_3538a,10.0,1.8510775929450303,18.510775929450304,8.980938048650296,0
trf_6_4249a,25.0,4.602079430314701,18.408317721258804,7.53705428976457,0
trf_34_1018a,5.0,0.8979621564746814,17.959243129493625,8.780944726963392,0
trf_6_6158a,45.0,7.712829642777049,17.139621428393443,8.300636096857847,0
trf_6_2860a,10.0,1.7017701264912446,17.017701264912446,8.232055031884979,0
trf_16_3221a,25.0,4.192178477724907,16.768713910899628,8.053776640811634,0
trf_16_5474a,10.0,1.6640927159149317,16.640927159149317,8.042980994477228,0
trf_16_3130a,30.0,4.831815568638991,16.106051895463303,7.8244496438174025,0
trf_6_2090a,15.0,2.412190477034646,16.081269846897637,7.823672619234595,0
trf_6_3634a,10.0,1.5885651408649084,15.885651408649085,7.700088182837411,0
trf_6_6197a,75.0,11.714170599863447,15.618894133151262,7.520051778191132,0
trf_16_1301a,10.0,1.5573275031436238,15.57327503143624,7.584940600721026,0
trf_6_727a,30.0,4.651071793203114,15.50357264401038,7.518691597879417,0
trf_11_2597a,10.0,1.5502481915215605,15.502481915215606,7.537318511076364,0
trf_6_3819a,30.0,4.588376149745955,15.294587165819852,7.4568094183112414,0
trf_6_129a,10.0,1.5179518997268031,15.17951899726803,7.407532666690865,0
trf_6_4704a,10.0,1.508837639813378,15.08837639813378,11.520823127169896,0
trf_16_537a,5.0,0.7458756157438254,14.91751231487651,7.372327867153204,0
trf_16_504a,15.0,2.1542879652641567,14.361919768427713,9.588722866622126,0
trf_6_1238a,15.0,2.1449394336176697,14.2995962241178,6.927541875482718,0
trf_16_1144a,15.0,2.129685419008647,14.197902793390982,6.872702998578621,0
trf_16_3548a,10.0,1.4179871042459649,14.179871042459649,9.478301497782352,0
trf_6_723a,15.0,2.06924375500366,13.794958366691068,6.746328619474109,0
trf_6_3818a,10.0,1.3776077458682994,13.776077458682995,6.6967461210338035,0
trf_6_808a,15.0,2.054773160112264,13.698487734081759,6.70366890634232,0
trf_16_2428a,5.0,0.6834956854304829,13.66991370860966,6.720580677858336,0
trf_16_1141a,15.0,2.0111120418356214,13.407413612237475,6.497237401893457,0
trf_6_737a,15.0,1.9430848748246712,12.953899165497807,6.353684301150498,0
trf_11_132a,10.0,1.2921892504003938,12.921892504003939,6.329216148768961,0
trf_6_1262a,10.0,1.2701856467538364,12.701856467538365,6.21929283344619,0
trf_6_2417a,10.0,1.231585270964419,12.31585270964419,6.016658027076795,0
trf_6_2887a,10.0,1.2235931947400702,12.235931947400703,5.984977445085225,0
trf_6_1475a,15.0,1.8014473776475413,12.009649184316942,7.159190190211711,0
trf_6_728a,30.0,3.592900353552357,11.976334511841191,5.85885928341278,0
trf_6_124a,45.0,5.350301739248676,11.889559420552612,6.215749614627547,0
trf_16_3904a,10.0,1.187169902785389,11.87169902785389,5.800953445714748,0
